------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.35149e-13,                0.005
         6.87147e-13,               0.0075
          9.6461e-13,                 0.01
          1.2696e-12,               0.0125
         1.60435e-12,                0.015
         1.97125e-12,               0.0175
         2.37286e-12,                 0.02
         2.81196e-12,               0.0225
         3.29151e-12,                0.025
         3.81471e-12,               0.0275
         4.38499e-12,                 0.03
         5.00605e-12,               0.0325
         5.68186e-12,                0.035
         6.41669e-12,               0.0375
         7.21511e-12,                 0.04
         8.08207e-12,               0.0425
         9.02284e-12,                0.045
         1.11491e-11,                 0.05
         1.36446e-11,                0.055
         1.65682e-11,                 0.06
         1.99875e-11,                0.065
         2.39808e-11,                 0.07
         2.86386e-11,                0.075
         3.40651e-11,                 0.08
         4.03809e-11,                0.085
         4.77251e-11,                 0.09
         5.62587e-11,                0.095
         6.61675e-11,                  0.1
         7.76662e-11,                0.105
         9.10032e-11,                 0.11
         1.06465e-10,                0.115
         1.24385e-10,                 0.12
         1.45146e-10,                0.125
         1.69194e-10,                 0.13
         1.97042e-10,                0.135
         2.29288e-10,                 0.14
         2.66622e-10,                0.145
         3.09846e-10,                 0.15
         3.59887e-10,                0.155
         4.17824e-10,                 0.16
         4.84907e-10,                0.165
          5.6259e-10,                 0.17
          6.5256e-10,                0.175
         7.56781e-10,                 0.18
         8.77536e-10,                0.185
         1.01748e-09,                 0.19
         1.17972e-09,                0.195
         1.36785e-09,                  0.2
         1.58609e-09,                0.205
         1.83935e-09,                 0.21
         2.13336e-09,                0.215
         2.47483e-09,                 0.22
          2.8716e-09,                0.225
         3.33286e-09,                 0.23
         3.86935e-09,                0.235
         4.49369e-09,                 0.24
         5.22067e-09,                0.245
         6.06768e-09,                 0.25
         7.05514e-09,                0.255
         8.20711e-09,                 0.26
         9.55188e-09,                0.265
         1.11229e-08,                 0.27
         1.29594e-08,                0.275
         1.51081e-08,                 0.28
         1.76241e-08,                0.285
         2.05724e-08,                 0.29
         2.40303e-08,                0.295
         2.80896e-08,                  0.3
         3.28591e-08,                0.305
         3.84685e-08,                 0.31
         4.50723e-08,                0.315
         5.28544e-08,                 0.32
          6.2035e-08,                0.325
         7.28772e-08,                 0.33
          8.5696e-08,                0.335
          1.0087e-07,                 0.34
         1.18852e-07,                0.345
          1.4019e-07,                 0.35
         1.65543e-07,                0.355
         1.95707e-07,                 0.36
         2.31643e-07,                0.365
         2.74517e-07,                 0.37
         3.25747e-07,                0.375
         3.87053e-07,                 0.38
         4.60536e-07,                0.385
         5.48758e-07,                 0.39
          6.5486e-07,                0.395
         7.82691e-07,                  0.4
         9.36986e-07,                0.405
         1.12358e-06,                 0.41
         1.34969e-06,                0.415
         1.62425e-06,                 0.42
         1.95837e-06,                0.425
         2.36587e-06,                 0.43
         2.86406e-06,                0.435
         3.15372e-06,               0.4375
         3.47459e-06,                 0.44
         3.83026e-06,               0.4425
         4.22474e-06,                0.445
         4.66259e-06,               0.4475
          5.1489e-06,                 0.45
         5.68942e-06,               0.4525
         6.29064e-06,                0.455
         6.95985e-06,               0.4575
         7.70533e-06,                 0.46
          8.5364e-06,               0.4625
         9.46365e-06,                0.465
