------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         8.80315e-09,                0.005
         1.36143e-08,               0.0075
         1.87163e-08,                 0.01
         2.41237e-08,               0.0125
         2.98512e-08,                0.015
         3.59146e-08,               0.0175
         4.23301e-08,                 0.02
         4.91148e-08,               0.0225
         5.62868e-08,                0.025
          7.1868e-08,                 0.03
         8.92343e-08,                0.035
         1.08562e-07,                 0.04
         1.30043e-07,                0.045
         1.53888e-07,                 0.05
          1.8033e-07,                0.055
          2.0962e-07,                 0.06
         2.42036e-07,                0.065
         2.77883e-07,                 0.07
         3.17493e-07,                0.075
         3.61231e-07,                 0.08
         4.09497e-07,                0.085
         4.62731e-07,                 0.09
         5.21412e-07,                0.095
         5.86068e-07,                  0.1
         6.57279e-07,                0.105
         7.35678e-07,                 0.11
         8.21962e-07,                0.115
         9.16896e-07,                 0.12
         1.02132e-06,                0.125
         1.13615e-06,                 0.13
         1.26241e-06,                0.135
         1.40121e-06,                 0.14
         1.55376e-06,                0.145
         1.72142e-06,                 0.15
         1.90566e-06,                0.155
          2.1081e-06,                 0.16
         2.33055e-06,                0.165
         2.57496e-06,                 0.17
          2.8435e-06,                0.175
         3.13858e-06,                 0.18
         3.46281e-06,                0.185
         3.81911e-06,                 0.19
         4.21067e-06,                0.195
         4.64102e-06,                  0.2
         5.11408e-06,                0.205
         5.63413e-06,                 0.21
         6.20594e-06,                0.215
         6.83476e-06,                 0.22
         7.52641e-06,                0.225
         8.28732e-06,                 0.23
          9.1246e-06,                0.235
         1.00461e-05,                 0.24
         1.10607e-05,                0.245
         1.21779e-05,                 0.25
         1.34085e-05,                0.255
         1.47644e-05,                 0.26
          1.6259e-05,                0.265
         1.79068e-05,                 0.27
         1.97242e-05,                0.275
         2.17295e-05,                 0.28
         2.39429e-05,                0.285
         2.63869e-05,                 0.29
         2.90868e-05,                0.295
         3.20705e-05,                  0.3
         3.53695e-05,                0.305
         3.90188e-05,                 0.31
         4.30575e-05,                0.315
         4.75294e-05,                 0.32
         5.24837e-05,                0.325
         5.79753e-05,                 0.33
         6.40659e-05,                0.335
         7.08249e-05,                 0.34
         7.83302e-05,                0.345
         8.66693e-05,                 0.35
          9.5941e-05,                0.355
         0.000106257,                 0.36
         0.000117741,                0.365
         0.000130537,                 0.37
         0.000144805,                0.375
         0.000160725,                 0.38
         0.000178504,                0.385
         0.000198375,                 0.39
         0.000220604,                0.395
         0.000245492,                  0.4
         0.000273383,                0.405
          0.00030467,                 0.41
         0.000339801,                0.415
         0.000379288,                 0.42
         0.000423719,                0.425
         0.000473769,                 0.43
         0.000530212,                0.435
         0.000593941,                 0.44
         0.000665987,                0.445
          0.00074754,                 0.45
         0.000839977,                0.455
         0.000944899,                 0.46
          0.00106416,                0.465
          0.00119994,                 0.47
          0.00135475,                0.475
          0.00153156,                 0.48
          0.00173385,                0.485
          0.00196569,                 0.49
          0.00223192,                0.495
          0.00253823,                  0.5
          0.00289137,                0.505
          0.00329941,                 0.51
          0.00377192,                0.515
          0.00432042,                 0.52
          0.00495871,                0.525
          0.00570344,                 0.53
          0.00657478,                0.535
          0.00759722,                 0.54
          0.00880066,                0.545
           0.0102217,                 0.55
           0.0119055,                0.555
           0.0139078,                 0.56
           0.0162978,                0.565
           0.0191621,                 0.57
           0.0226093,                0.575
           0.0267762,                 0.58
           0.0318364,                0.585
           0.0380109,                 0.59
           0.0416015,               0.5925
           0.0455824,                0.595
           0.0500016,               0.5975
           0.0549137,                  0.6
           0.0603803,               0.6025
           0.0664718,                0.605
           0.0732678,               0.6075
           0.0808586,                 0.61
           0.0893466,               0.6125
           0.0988477,                0.615
            0.109492,               0.6175
            0.121428,                 0.62
            0.134818,               0.6225
            0.149846,                0.625
            0.166713,               0.6275
            0.185639,                 0.63
             0.20686,               0.6325
            0.230622,                0.635
            0.257178,               0.6375
            0.286774,                 0.64
            0.319635,               0.6425
            0.355941,                0.645
            0.395799,               0.6475
             0.43921,                 0.65
            0.535906,                0.655
            0.642321,                 0.66
            0.750821,                0.665
            0.850403,                 0.67
            0.929451,                0.675
            0.979779,                 0.68
            0.999461,                0.685
            0.992585,                 0.69
            0.966594,                0.695
            0.929321,                  0.7

