------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         3.23076e-10,                0.005
         5.03129e-10,               0.0075
         6.96516e-10,                 0.01
         9.04035e-10,               0.0125
         1.12653e-09,                0.015
         1.36488e-09,               0.0175
         1.62003e-09,                 0.02
         1.89297e-09,               0.0225
         2.18475e-09,                0.025
         2.49647e-09,               0.0275
         2.82931e-09,                 0.03
         3.56329e-09,                0.035
         4.39743e-09,                 0.04
         5.34365e-09,                0.045
         6.41529e-09,                 0.05
          7.6272e-09,                0.055
         8.99593e-09,                 0.06
           1.054e-08,                0.065
         1.22799e-08,                 0.07
         1.42388e-08,                0.075
         1.64422e-08,                 0.08
         1.89188e-08,                0.085
         2.17004e-08,                 0.09
         2.48228e-08,                0.095
         2.83257e-08,                  0.1
         3.22535e-08,                0.105
         3.66559e-08,                 0.11
         4.15883e-08,                0.115
         4.71125e-08,                 0.12
         5.32979e-08,                0.125
         6.02217e-08,                 0.13
         6.79706e-08,                0.135
         7.66412e-08,                 0.14
         8.63419e-08,                0.145
          9.7194e-08,                 0.15
         1.09333e-07,                0.155
         1.22911e-07,                 0.16
         1.38099e-07,                0.165
         1.55088e-07,                 0.17
         1.74091e-07,                0.175
          1.9535e-07,                 0.18
         2.19133e-07,                0.185
         2.45745e-07,                 0.19
         2.75525e-07,                0.195
         3.08856e-07,                  0.2
         3.46169e-07,                0.205
         3.87948e-07,                 0.21
         4.34737e-07,                0.215
         4.87152e-07,                 0.22
         5.45885e-07,                0.225
         6.11715e-07,                 0.23
         6.85524e-07,                0.235
         7.68307e-07,                 0.24
         8.61187e-07,                0.245
         9.65435e-07,                 0.25
         1.08249e-06,                0.255
         1.21397e-06,                 0.26
         1.36174e-06,                0.265
         1.52787e-06,                 0.27
         1.71474e-06,                0.275
         1.92504e-06,                 0.28
         2.16183e-06,                0.285
          2.4286e-06,                 0.29
         2.72931e-06,                0.295
         3.06848e-06,                  0.3
         3.45125e-06,                0.305
         3.88349e-06,                 0.31
         4.37194e-06,                0.315
         4.92427e-06,                 0.32
         5.54926e-06,                0.325
           6.257e-06,                 0.33
         7.05904e-06,                0.335
         7.96867e-06,                 0.34
         9.00114e-06,                0.345
          1.0174e-05,                 0.35
         1.15076e-05,                0.355
         1.30252e-05,                 0.36
         1.47538e-05,                0.365
         1.67248e-05,                 0.37
         1.89742e-05,                0.375
         2.15442e-05,                 0.38
         2.44834e-05,                0.385
         2.78488e-05,                 0.39
         3.17064e-05,                0.395
         3.61337e-05,                  0.4
          4.1221e-05,                0.405
         4.70743e-05,                 0.41
         5.38178e-05,                0.415
         6.15977e-05,                 0.42
         7.05862e-05,                0.425
         8.09867e-05,                 0.43
         9.30399e-05,                0.435
         0.000107031,                 0.44
         0.000123299,                0.445
         0.000142248,                 0.45
         0.000164361,                0.455
         0.000190215,                 0.46
         0.000220505,                0.465
         0.000256067,                 0.47
         0.000297911,                0.475
          0.00034726,                 0.48
         0.000405604,                0.485
         0.000474759,                 0.49
          0.00055695,                0.495
         0.000654913,                  0.5
         0.000772026,                0.505
         0.000912482,                 0.51
           0.0010815,                0.515
          0.00128562,                 0.52
          0.00153308,                0.525
          0.00183429,                 0.53
          0.00220254,                0.535
          0.00241694,               0.5375
          0.00265483,                 0.54
          0.00291912,               0.5425
          0.00321313,                0.545
          0.00354064,               0.5475
          0.00390598,                 0.55
          0.00431413,               0.5525
           0.0047708,                0.555
          0.00528257,               0.5575
          0.00585703,                 0.56
          0.00650298,               0.5625
          0.00723062,                0.565
          0.00805182,               0.5675
          0.00898041,                 0.57
           0.0100326,               0.5725
           0.0112273,                0.575
           0.0125869,               0.5775
           0.0141378,                 0.58
            0.015911,               0.5825
           0.0179438,                0.585
           0.0202801,               0.5875
           0.0229729,                 0.59
           0.0260852,               0.5925
           0.0296935,                0.595
           0.0338896,               0.5975
           0.0387853,                  0.6
            0.044516,               0.6025
           0.0512473,                0.605
           0.0591814,               0.6075
           0.0685661,                 0.61
           0.0797053,               0.6125
           0.0929715,                0.615
            0.108821,               0.6175
            0.127809,                 0.62
            0.150607,               0.6225
            0.178013,                0.625
            0.210956,               0.6275
            0.250478,                 0.63
            0.297668,               0.6325
             0.35354,                0.635
            0.418799,               0.6375
            0.493479,                 0.64
            0.576463,               0.6425
            0.664973,                0.645
            0.754286,               0.6475
            0.837991,                 0.65
            0.909038,               0.6525
            0.961401,                0.655
            0.991691,               0.6575
            0.999891,                 0.66
            0.988921,               0.6625
            0.963399,                0.665
            0.928306,               0.6675
            0.888048,                 0.67
            0.846029,               0.6725
            0.804614,                0.675
            0.728887,                 0.68
            0.666077,                0.685
            0.616411,                 0.69
            0.578377,                0.695
            0.550142,                  0.7

