------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.12847e-08,                0.005
         3.28562e-08,               0.0075
         4.50854e-08,                 0.01
         5.80028e-08,               0.0125
           7.164e-08,                0.015
         8.60302e-08,               0.0175
         1.01208e-07,                 0.02
         1.17209e-07,               0.0225
         1.34072e-07,                0.025
         1.70539e-07,                 0.03
         2.10945e-07,                0.035
         2.55657e-07,                 0.04
         3.05072e-07,                0.045
         3.59625e-07,                 0.05
          4.1979e-07,                0.055
         4.86083e-07,                 0.06
         5.59067e-07,                0.065
         6.39355e-07,                 0.07
         7.27618e-07,                0.075
         8.24584e-07,                 0.08
         9.31051e-07,                0.085
         1.04789e-06,                 0.09
         1.17604e-06,                0.095
         1.31655e-06,                  0.1
         1.47054e-06,                0.105
         1.63925e-06,                 0.11
         1.82401e-06,                0.115
         2.02632e-06,                 0.12
         2.24776e-06,                0.125
         2.49011e-06,                 0.13
         2.75528e-06,                0.135
         3.04536e-06,                 0.14
         3.36266e-06,                0.145
         3.70969e-06,                 0.15
          4.0892e-06,                0.155
          4.5042e-06,                 0.16
         4.95798e-06,                0.165
         5.45415e-06,                 0.17
         5.99667e-06,                0.175
         6.58988e-06,                 0.18
         7.23853e-06,                0.185
         7.94782e-06,                 0.19
         8.72349e-06,                0.195
         9.57182e-06,                  0.2
         1.04997e-05,                0.205
         1.15147e-05,                 0.21
         1.26252e-05,                0.215
         1.38402e-05,                 0.22
           1.517e-05,                0.225
         1.66255e-05,                 0.23
          1.8219e-05,                0.235
         1.99639e-05,                 0.24
          2.1875e-05,                0.245
         2.39688e-05,                 0.25
         2.62631e-05,                0.255
         2.87779e-05,                 0.26
         3.15352e-05,                0.265
         3.45593e-05,                 0.27
          3.7877e-05,                0.275
          4.1518e-05,                 0.28
         4.55153e-05,                0.285
         4.99052e-05,                 0.29
         5.47283e-05,                0.295
         6.00292e-05,                  0.3
         6.58577e-05,                0.305
         7.22692e-05,                 0.31
         7.93249e-05,                0.315
         8.70933e-05,                 0.32
         9.56503e-05,                0.325
         0.000105081,                 0.33
         0.000115479,                0.335
         0.000126951,                 0.34
         0.000139614,                0.345
           0.0001536,                 0.35
         0.000169056,                0.355
         0.000186148,                 0.36
         0.000205059,                0.365
         0.000225999,                 0.37
           0.0002492,                0.375
         0.000274924,                 0.38
         0.000303466,                0.385
          0.00033516,                 0.39
          0.00037038,                0.395
         0.000409551,                  0.4
         0.000453152,                0.405
         0.000501726,                 0.41
         0.000555889,                0.415
         0.000616341,                 0.42
         0.000683876,                0.425
         0.000759399,                 0.43
         0.000843944,                0.435
         0.000938689,                 0.44
          0.00104498,                0.445
          0.00116437,                 0.45
          0.00129863,                0.455
          0.00144981,                 0.46
          0.00162024,                0.465
          0.00181265,                 0.47
          0.00203017,                0.475
          0.00227645,                 0.48
           0.0025557,                0.485
          0.00287285,                 0.49
          0.00323364,                0.495
          0.00364479,                  0.5
          0.00411416,                0.505
          0.00465101,                 0.51
          0.00526626,                0.515
           0.0059728,                 0.52
          0.00678594,                0.525
          0.00772386,                 0.53
          0.00880828,                0.535
           0.0100652,                 0.54
           0.0115257,                0.545
           0.0132276,                 0.55
           0.0152161,                0.555
           0.0175467,                 0.56
           0.0202865,                0.565
           0.0235178,                 0.57
           0.0273416,                0.575
           0.0318822,                 0.58
           0.0372933,                0.585
           0.0437656,                 0.59
            0.051536,                0.595
           0.0608994,                  0.6
           0.0722234,                0.605
           0.0859658,                 0.61
            0.102694,                0.615
            0.123109,                 0.62
            0.148061,                0.625
            0.178567,                 0.63
            0.215797,                0.635
             0.26103,                 0.64
            0.315521,                0.645
            0.380261,                 0.65
            0.455573,                0.655
            0.540554,                 0.66
            0.632465,                0.665
            0.726374,                 0.67
            0.815433,                0.675
              0.8921,                 0.68
            0.950029,                0.685
            0.985808,                 0.69
             0.99963,                0.695
            0.994653,                  0.7

