------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         7.23666e-23,                0.005
         9.50343e-23,              0.00625
         1.19816e-22,               0.0075
         1.46872e-22,              0.00875
         1.76371e-22,                 0.01
         2.08496e-22,              0.01125
         2.43443e-22,               0.0125
         2.81418e-22,              0.01375
         3.22646e-22,                0.015
         3.67363e-22,              0.01625
         4.15823e-22,               0.0175
         4.68299e-22,              0.01875
          5.2508e-22,                 0.02
         6.52818e-22,               0.0225
         8.01778e-22,                0.025
         9.75083e-22,               0.0275
          1.1763e-21,                 0.03
         1.40947e-21,               0.0325
         1.67923e-21,                0.035
         1.99084e-21,               0.0375
          2.3503e-21,                 0.04
         2.76441e-21,               0.0425
         3.24094e-21,                0.045
         3.78872e-21,               0.0475
          4.4178e-21,                 0.05
         5.13959e-21,               0.0525
         5.96709e-21,                0.055
         6.91506e-21,               0.0575
         8.00031e-21,                 0.06
         9.24191e-21,               0.0625
         1.06616e-20,                0.065
          1.2284e-20,               0.0675
         1.41371e-20,                 0.07
         1.62529e-20,               0.0725
         1.86675e-20,                0.075
         2.14221e-20,               0.0775
         2.45636e-20,                 0.08
         2.81449e-20,               0.0825
         3.22267e-20,                0.085
         3.68775e-20,               0.0875
         4.21754e-20,                 0.09
         4.82093e-20,               0.0925
         5.50798e-20,                0.095
         6.29018e-20,               0.0975
         7.18056e-20,                  0.1
         8.19394e-20,               0.1025
         9.34719e-20,                0.105
         1.06595e-19,               0.1075
         1.21526e-19,                 0.11
         1.38513e-19,               0.1125
         1.57839e-19,                0.115
         1.79824e-19,               0.1175
         2.04834e-19,                 0.12
         2.33284e-19,               0.1225
         2.65648e-19,                0.125
         3.02463e-19,               0.1275
         3.44344e-19,                 0.13
         3.91989e-19,               0.1325
         4.46192e-19,                0.135
         5.07861e-19,               0.1375
         5.78028e-19,                 0.14
         6.57868e-19,               0.1425
         7.48724e-19,                0.145
         8.52124e-19,               0.1475
         9.69811e-19,                 0.15
         1.10377e-18,               0.1525
         1.25628e-18,                0.155
         1.42992e-18,               0.1575
         1.62764e-18,                 0.16
         1.85283e-18,               0.1625
         2.10932e-18,                0.165
         2.40152e-18,               0.1675
         2.73444e-18,                 0.17
         3.11384e-18,               0.1725
         3.54627e-18,                0.175
         4.03924e-18,               0.1775
         4.60132e-18,                 0.18
         5.24233e-18,               0.1825
          5.9735e-18,                0.185
         6.80769e-18,               0.1875
         7.75961e-18,                 0.19
         8.84611e-18,               0.1925
         1.00865e-17,                0.195
         1.15029e-17,               0.1975
         1.31208e-17,                  0.2
         1.49691e-17,               0.2025
         1.70812e-17,                0.205
         1.94955e-17,               0.2075
         2.22558e-17,                 0.21
         2.54127e-17,               0.2125
         2.90241e-17,                0.215
         3.31566e-17,               0.2175
         3.78867e-17,                 0.22
         4.33025e-17,               0.2225
         4.95053e-17,                0.225
         5.66114e-17,               0.2275
         6.47551e-17,                 0.23
         7.40908e-17,               0.2325
         8.47964e-17,                0.235
          9.7077e-17,               0.2375
         1.11169e-16,                 0.24
         1.27345e-16,               0.2425
          1.4592e-16,                0.245
         1.67258e-16,               0.2475
         1.91776e-16,                 0.25
         2.19962e-16,               0.2525
         2.52374e-16,                0.255
         2.89661e-16,               0.2575
         3.32572e-16,                 0.26
         3.81975e-16,               0.2625
         4.38875e-16,                0.265
         5.04436e-16,               0.2675
         5.80007e-16,                 0.27
         6.67153e-16,               0.2725
          7.6769e-16,                0.275
         8.83725e-16,               0.2775
         1.01771e-15,                 0.28
         1.17248e-15,               0.2825
         1.35134e-15,                0.285
         1.55815e-15,               0.2875
         1.79738e-15,                 0.29
         2.07424e-15,               0.2925
         2.39481e-15,                0.295
         2.76617e-15,               0.2975
         3.19657e-15,                  0.3
         3.69565e-15,               0.3025
         4.27467e-15,                0.305
         4.94679e-15,               0.3075
         5.72738e-15,                 0.31
         6.63444e-15,               0.3125
         7.68901e-15,                0.315
         8.91578e-15,               0.3175
         1.03437e-14,                 0.32
         1.20066e-14,               0.3225
         1.39443e-14,                0.325
         1.62036e-14,               0.3275
         1.88394e-14,                 0.33
         2.19163e-14,               0.3325
         2.55103e-14,                0.335
         2.97111e-14,               0.3375
          3.4624e-14,                 0.34
         4.03736e-14,               0.3425
         4.71068e-14,                0.345
          5.4997e-14,               0.3475
         6.42495e-14,                 0.35
         7.51067e-14,               0.3525
          8.7856e-14,                0.355
         1.02838e-13,               0.3575
         1.20456e-13,                 0.36
         1.41189e-13,               0.3625
         1.65606e-13,                0.365
         1.94384e-13,               0.3675
         2.28328e-13,                 0.37
         2.68397e-13,               0.3725
         3.15733e-13,                0.375
         3.71701e-13,               0.3775
         4.37928e-13,                 0.38
         5.16363e-13,               0.3825
         6.09335e-13,                0.385
         7.19635e-13,               0.3875
         8.50609e-13,                 0.39
         1.00627e-12,               0.3925
         1.19145e-12,                0.395
         1.41195e-12,               0.3975
         1.67475e-12,                  0.4
         1.98829e-12,               0.4025
         2.36272e-12,                0.405
         2.81034e-12,               0.4075
         3.34599e-12,                 0.41
