------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
          3.0933e-12,                0.005
         4.86453e-12,               0.0075
         6.80062e-12,                 0.01
         8.91387e-12,               0.0125
         1.12175e-11,                0.015
         1.37256e-11,               0.0175
         1.64532e-11,                 0.02
         1.94166e-11,               0.0225
         2.26329e-11,                0.025
         2.61206e-11,               0.0275
         2.98996e-11,                 0.03
         3.39908e-11,               0.0325
         3.84169e-11,                0.035
          4.3202e-11,               0.0375
          4.8372e-11,                 0.04
         5.99787e-11,                0.045
         7.34815e-11,                 0.05
         8.91599e-11,                0.055
         1.07333e-10,                 0.06
         1.28367e-10,                0.065
         1.52678e-10,                 0.07
         1.80743e-10,                0.075
         2.13109e-10,                 0.08
         2.50397e-10,                0.085
         2.93322e-10,                 0.09
         3.42699e-10,                0.095
          3.9946e-10,                  0.1
         4.64672e-10,                0.105
         5.39557e-10,                 0.11
         6.25512e-10,                0.115
         7.24137e-10,                 0.12
         8.37266e-10,                0.125
         9.66998e-10,                 0.13
         1.11574e-09,                0.135
         1.28625e-09,                 0.14
          1.4817e-09,                0.145
         1.70571e-09,                 0.15
         1.96245e-09,                0.155
          2.2567e-09,                 0.16
         2.59398e-09,                0.165
         2.98059e-09,                 0.17
          3.4238e-09,                0.175
         3.93198e-09,                 0.18
         4.51474e-09,                0.185
         5.18319e-09,                 0.19
          5.9501e-09,                0.195
          6.8302e-09,                  0.2
         7.84049e-09,                0.205
         9.00062e-09,                 0.21
         1.03333e-08,                0.215
         1.18647e-08,                 0.22
         1.36252e-08,                0.225
         1.56499e-08,                 0.23
         1.79795e-08,                0.235
         2.06613e-08,                 0.24
           2.375e-08,                0.245
         2.73093e-08,                 0.25
         3.14131e-08,                0.255
         3.61474e-08,                 0.26
         4.16126e-08,                0.265
         4.79252e-08,                 0.27
         5.52217e-08,                0.275
         6.36611e-08,                 0.28
         7.34293e-08,                0.285
          8.4744e-08,                 0.29
           9.786e-08,                0.295
         1.13076e-07,                  0.3
         1.30744e-07,                0.305
         1.51275e-07,                 0.31
         1.75155e-07,                0.315
         2.02955e-07,                 0.32
          2.3535e-07,                0.325
         2.73137e-07,                 0.33
         3.17258e-07,                0.335
         3.68828e-07,                 0.34
         4.29171e-07,                0.345
         4.99859e-07,                 0.35
         5.82763e-07,                0.355
          6.8011e-07,                 0.36
         7.94561e-07,                0.365
         9.29294e-07,                 0.37
         1.08812e-06,                0.375
          1.2756e-06,                 0.38
         1.49722e-06,                0.385
         1.75961e-06,                 0.39
         2.07072e-06,                0.395
         2.44022e-06,                  0.4
         2.87978e-06,                0.405
          3.4036e-06,                 0.41
         4.02896e-06,                0.415
         4.77694e-06,                 0.42
         5.67332e-06,                0.425
         6.74975e-06,                 0.43
         8.04512e-06,                0.435
         9.60741e-06,                 0.44
          1.1496e-05,                0.445
         1.37845e-05,                 0.45
         1.65646e-05,                0.455
          1.9951e-05,                 0.46
         2.40873e-05,                0.465
         2.64914e-05,               0.4675
         2.91542e-05,                 0.47
         3.21058e-05,               0.4725
         3.53802e-05,                0.475
         3.90156e-05,               0.4775
         4.30553e-05,                 0.48
          4.7548e-05,               0.4825
         5.25489e-05,                0.485
         5.81208e-05,               0.4875
         6.43345e-05,                 0.49
         7.12707e-05,               0.4925
         7.90211e-05,                0.495
         8.76902e-05,               0.4975
         9.73971e-05,                  0.5
         0.000108278,               0.5025
         0.000120488,                0.505
         0.000134207,               0.5075
         0.000149638,                 0.51
         0.000167018,               0.5125
         0.000186616,                0.515
         0.000208747,               0.5175
         0.000233772,                 0.52
          0.00026211,               0.5225
         0.000294247,                0.525
         0.000330749,               0.5275
         0.000372274,                 0.53
         0.000419594,               0.5325
         0.000473611,                0.535
         0.000535385,               0.5375
         0.000606162,                 0.54
         0.000687417,               0.5425
         0.000780893,                0.545
         0.000888661,               0.5475
          0.00101319,                 0.55
          0.00115743,               0.5525
          0.00132492,                0.555
          0.00151992,               0.5575
          0.00174758,                 0.56
          0.00201417,               0.5625
          0.00232729,                0.565
          0.00269629,               0.5675
          0.00313268,                 0.57
          0.00365066,               0.5725
          0.00426794,                0.575
          0.00500668,               0.5775
          0.00589477,                 0.58
           0.0069676,               0.5825
          0.00827035,                0.585
          0.00986118,               0.5875
           0.0107874,              0.58875
           0.0118156,                 0.59
           0.0129588,              0.59125
           0.0142323,               0.5925
           0.0156532,              0.59375
           0.0172418,                0.595
           0.0190212,              0.59625
           0.0210184,               0.5975
           0.0232647,              0.59875
           0.0257968,                  0.6
           0.0286575,              0.60125
           0.0318971,               0.6025
           0.0355749,              0.60375
           0.0397607,                0.605
           0.0445373,              0.60625
           0.0500028,               0.6075
           0.0562742,              0.60875
           0.0634906,                 0.61
           0.0718185,              0.61125
           0.0814571,               0.6125
           0.0926447,              0.61375
            0.105666,                0.615
            0.120863,              0.61625
            0.138639,               0.6175
            0.159474,              0.61875
            0.183927,                 0.62
             0.21264,              0.62125
            0.246332,               0.6225
            0.285772,              0.62375
            0.331723,                0.625
            0.384849,              0.62625
            0.445544,               0.6275
            0.513701,              0.62875
            0.588404,                 0.63
            0.667614,              0.63125
            0.747955,               0.6325
            0.824786,              0.63375
            0.892713,                0.635
            0.946545,              0.63625
            0.982445,               0.6375
            0.998803,              0.63875
            0.996454,                 0.64
            0.978199,              0.64125
            0.947909,               0.6425
            0.909636,              0.64375
             0.86698,                0.645
            0.779082,               0.6475
            0.697974,                 0.65
            0.628663,               0.6525
            0.571656,                0.655
            0.525692,               0.6575
            0.489066,                 0.66
             0.46016,               0.6625
            0.437607,                0.665
            0.420311,               0.6675
            0.407414,                 0.67
            0.398256,               0.6725
             0.39233,                0.675
             0.38874,                 0.68
            0.394598,                0.685
            0.408835,                 0.69
            0.430978,                0.695
            0.460912,                  0.7

