------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         0.000291991,                0.005
         0.000594078,                 0.01
         0.000906551,                0.015
          0.00122971,                 0.02
          0.00156385,                0.025
           0.0019093,                 0.03
          0.00226638,                0.035
          0.00263541,                 0.04
          0.00301674,                0.045
          0.00341071,                 0.05
           0.0038177,                0.055
          0.00423806,                 0.06
          0.00467217,                0.065
          0.00512043,                 0.07
          0.00558324,                0.075
          0.00606099,                 0.08
          0.00655413,                0.085
          0.00706307,                 0.09
          0.00758827,                0.095
          0.00813017,                  0.1
          0.00868926,                0.105
            0.009266,                 0.11
           0.0098609,                0.115
           0.0104745,                 0.12
           0.0111072,                0.125
           0.0117597,                 0.13
           0.0124324,                0.135
           0.0131259,                 0.14
           0.0138408,                0.145
           0.0145778,                 0.15
           0.0153373,                0.155
             0.01612,                 0.16
           0.0169267,                0.165
           0.0177578,                 0.17
           0.0186141,                0.175
           0.0194963,                 0.18
            0.020405,                0.185
           0.0213411,                 0.19
           0.0223052,                0.195
           0.0232981,                  0.2
           0.0243206,                0.205
           0.0253734,                 0.21
           0.0264575,                0.215
           0.0275735,                 0.22
           0.0287225,                0.225
           0.0299052,                 0.23
           0.0311225,                0.235
           0.0323755,                 0.24
           0.0336649,                0.245
           0.0349917,                 0.25
           0.0363571,                0.255
           0.0377618,                 0.26
           0.0392071,                0.265
           0.0406938,                 0.27
           0.0422231,                0.275
           0.0437961,                 0.28
           0.0454138,                0.285
           0.0470775,                 0.29
           0.0487883,                0.295
           0.0505473,                  0.3
           0.0523557,                0.305
           0.0542149,                 0.31
           0.0561259,                0.315
           0.0580902,                 0.32
            0.060109,                0.325
           0.0621836,                 0.33
           0.0643154,                0.335
           0.0665056,                 0.34
           0.0687558,                0.345
           0.0710672,                 0.35
           0.0734414,                0.355
           0.0758797,                 0.36
           0.0783837,                0.365
           0.0809547,                 0.37
           0.0835944,                0.375
           0.0863041,                 0.38
           0.0890855,                0.385
           0.0919401,                 0.39
           0.0948694,                0.395
            0.097875,                  0.4
            0.100958,                0.405
            0.104121,                 0.41
            0.107366,                0.415
            0.110692,                 0.42
            0.114103,                0.425
              0.1176,                 0.43
            0.121184,                0.435
            0.124858,                 0.44
            0.128622,                0.445
            0.132478,                 0.45
            0.136428,                0.455
            0.140474,                 0.46
            0.144617,                0.465
            0.148858,                 0.47
            0.153199,                0.475
            0.157641,                 0.48
            0.162187,                0.485
            0.166836,                 0.49
            0.171591,                0.495
            0.176454,                  0.5
            0.181424,                0.505
            0.186504,                 0.51
            0.191695,                0.515
            0.196997,                 0.52
            0.202412,                0.525
            0.207941,                 0.53
            0.213584,                0.535
            0.219343,                 0.54
            0.225218,                0.545
             0.23121,                 0.55
            0.237318,                0.555
            0.243544,                 0.56
            0.249889,                0.565
            0.256351,                 0.57
            0.262931,                0.575
            0.269629,                 0.58
            0.276445,                0.585
            0.283378,                 0.59
            0.290428,                0.595
            0.297594,                  0.6
            0.304875,                0.605
            0.312271,                 0.61
             0.31978,                0.615
              0.3274,                 0.62
            0.335131,                0.625
             0.34297,                 0.63
            0.350916,                0.635
            0.358966,                 0.64
            0.367119,                0.645
            0.375371,                 0.65
             0.38372,                0.655
            0.392164,                 0.66
            0.400699,                0.665
            0.409322,                 0.67
            0.418029,                0.675
            0.426817,                 0.68
            0.435682,                0.685
            0.444619,                 0.69
            0.453626,                0.695
            0.462696,                  0.7

