------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         3.50023e-28,                0.005
         4.65613e-28,              0.00625
         5.94638e-28,               0.0075
         7.38368e-28,              0.00875
         8.98186e-28,                 0.01
         1.07559e-27,              0.01125
         1.27222e-27,               0.0125
         1.48984e-27,              0.01375
         1.73038e-27,                0.015
         1.99592e-27,              0.01625
         2.28875e-27,               0.0175
         2.61131e-27,              0.01875
         2.96629e-27,                 0.02
         3.35657e-27,              0.02125
         3.78532e-27,               0.0225
         4.25593e-27,              0.02375
         4.77212e-27,                0.025
         5.33789e-27,              0.02625
         5.95759e-27,               0.0275
         6.63594e-27,              0.02875
         7.37806e-27,                 0.03
         9.07619e-27,               0.0325
         1.11021e-26,                0.035
         1.35146e-26,               0.0375
         1.63827e-26,                 0.04
         1.97874e-26,               0.0425
         2.38236e-26,                0.045
         2.86026e-26,               0.0475
         3.42547e-26,                 0.05
         4.09327e-26,               0.0525
         4.88156e-26,                0.055
         5.81131e-26,               0.0575
         6.90705e-26,                 0.06
         8.19753e-26,               0.0625
          9.7164e-26,                0.065
          1.1503e-25,               0.0675
         1.36036e-25,                 0.07
          1.6072e-25,               0.0725
         1.89714e-25,                0.075
         2.23757e-25,               0.0775
         2.63716e-25,                 0.08
         3.10602e-25,               0.0825
         3.65602e-25,                0.085
         4.30102e-25,               0.0875
         5.05728e-25,                 0.09
          5.9438e-25,               0.0925
         6.98285e-25,                0.095
         8.20048e-25,               0.0975
         9.62722e-25,                  0.1
         1.12988e-24,               0.1025
         1.32571e-24,                0.105
         1.55511e-24,               0.1075
         1.82383e-24,                 0.11
         2.13859e-24,               0.1125
         2.50728e-24,                0.115
         2.93915e-24,               0.1175
         3.44502e-24,                 0.12
         4.03761e-24,               0.1225
         4.73181e-24,                0.125
         5.54509e-24,               0.1275
         6.49795e-24,                 0.13
         7.61444e-24,               0.1325
         8.92281e-24,                0.135
         1.04562e-23,               0.1375
         1.22535e-23,                 0.14
         1.43604e-23,               0.1425
         1.68307e-23,                0.145
         1.97275e-23,               0.1475
         2.31248e-23,                 0.15
           2.711e-23,               0.1525
         3.17856e-23,                0.155
         3.72723e-23,               0.1575
         4.37121e-23,                 0.16
         5.12721e-23,               0.1625
         6.01492e-23,                0.165
         7.05752e-23,               0.1675
         8.28233e-23,                 0.17
         9.72154e-23,               0.1725
         1.14131e-22,                0.175
         1.34018e-22,               0.1775
         1.57405e-22,                 0.18
         1.84915e-22,               0.1825
         2.17284e-22,                0.185
         2.55381e-22,               0.1875
         3.00235e-22,                 0.19
         3.53058e-22,               0.1925
         4.15288e-22,                0.195
         4.88622e-22,               0.1975
         5.75071e-22,                  0.2
         6.77015e-22,               0.2025
         7.97271e-22,                0.205
         9.39179e-22,               0.2075
          1.1067e-21,                 0.21
         1.30452e-21,               0.2125
         1.53822e-21,                0.215
         1.81441e-21,               0.2175
         2.14093e-21,                 0.22
         2.52712e-21,               0.2225
         2.98405e-21,                0.225
         3.52491e-21,               0.2275
         4.16539e-21,                 0.23
         4.92414e-21,               0.2325
         5.82341e-21,                0.235
         6.88967e-21,               0.2375
          8.1545e-21,                 0.24
         9.65556e-21,               0.2425
         1.14378e-20,                0.245
         1.35548e-20,               0.2475
         1.60708e-20,                 0.25
         1.90623e-20,               0.2525
          2.2621e-20,                0.255
         2.68564e-20,               0.2575
         3.18999e-20,                 0.26
         3.79086e-20,               0.2625
         4.50712e-20,                0.265
         5.36135e-20,               0.2675
         6.38069e-20,                 0.27
         7.59772e-20,               0.2725
         9.05157e-20,                0.275
         1.07893e-19,               0.2775
         1.28676e-19,                 0.28
         1.53545e-19,               0.2825
         1.83322e-19,                0.285
         2.18996e-19,               0.2875
         2.61762e-19,                 0.29
          3.1306e-19,               0.2925
         3.74632e-19,                0.295
          4.4858e-19,               0.2975
         5.37452e-19,                  0.3
         6.44327e-19,               0.3025
         7.72937e-19,                0.305
         9.27807e-19,               0.3075
         1.11443e-18,                 0.31
         1.33946e-18,               0.3125
           1.611e-18,                0.315
          1.9389e-18,               0.3175
         2.33513e-18,                 0.32
          2.8143e-18,               0.3225
         3.39419e-18,                0.325
         4.09652e-18,               0.3275
         4.94777e-18,                 0.33
         5.98033e-18,               0.3325
         7.23382e-18,                0.335
         8.75674e-18,               0.3375
         1.06085e-17,                 0.34
          1.2862e-17,               0.3425
         1.56067e-17,                0.345
         1.89525e-17,               0.3475
         2.30346e-17,                 0.35
         2.80195e-17,               0.3525
         3.41123e-17,                0.355
         4.15661e-17,               0.3575
         4.58984e-17,              0.35875
         5.06934e-17,                 0.36
         5.60019e-17,              0.36125
         6.18803e-17,               0.3625
         6.83914e-17,              0.36375
          7.5605e-17,                0.365
         8.35988e-17,              0.36625
         9.24595e-17,               0.3675
         1.02283e-16,              0.36875
         1.13178e-16,                 0.37
         1.25263e-16,              0.37125
         1.38672e-16,               0.3725
         1.53554e-16,              0.37375
         1.70076e-16,                0.375
         1.88421e-16,              0.37625
         2.08798e-16,               0.3775
         2.31436e-16,              0.37875
         2.56595e-16,                 0.38
         2.84562e-16,              0.38125
         3.15658e-16,               0.3825
         3.50245e-16,              0.38375
         3.88724e-16,                0.385
         4.31546e-16,              0.38625
         4.79213e-16,               0.3875
          5.3229e-16,              0.38875
         5.91408e-16,                 0.39
         6.57273e-16,              0.39125
         7.30678e-16,               0.3925
         8.12509e-16,              0.39375
         9.03761e-16,                0.395
         1.00555e-15,              0.39625
         1.11913e-15,               0.3975
          1.2459e-15,              0.39875
         1.38743e-15,                  0.4
         1.54551e-15,              0.40125
         1.72212e-15,               0.4025
         1.91948e-15,              0.40375
         2.14013e-15,                0.405
         2.38687e-15,              0.40625
          2.6629e-15,               0.4075
         2.97178e-15,              0.40875
         3.31754e-15,                 0.41
         3.70473e-15,              0.41125
         4.13845e-15,               0.4125
         4.62446e-15,              0.41375
         5.16926e-15,                0.415
         5.78018e-15,              0.41625
         6.46549e-15,               0.4175
         7.23452e-15,              0.41875
         8.09781e-15,                 0.42
         9.06728e-15,              0.42125
         1.01564e-14,               0.4225
         1.13804e-14,              0.42375
         1.27565e-14,                0.425
         1.43041e-14,              0.42625
         1.60455e-14,               0.4275
         1.80055e-14,              0.42875
         2.02125e-14,                 0.43
         2.26986e-14,              0.43125
         2.55004e-14,               0.4325
         2.86591e-14,              0.43375
