------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.73826e-10,                0.005
         2.71054e-10,               0.0075
         3.75729e-10,                 0.01
         4.88312e-10,               0.0125
         6.09289e-10,                0.015
         7.39175e-10,               0.0175
         8.78514e-10,                 0.02
         1.02788e-09,               0.0225
         1.18789e-09,                0.025
         1.35918e-09,               0.0275
         1.54243e-09,                 0.03
         1.94776e-09,                0.035
         2.41016e-09,                 0.04
         2.93666e-09,                0.045
         3.53514e-09,                 0.05
         4.21438e-09,                0.055
         4.98425e-09,                 0.06
         5.85576e-09,                0.065
         6.84124e-09,                 0.07
         7.95451e-09,                0.075
           9.211e-09,                 0.08
          1.0628e-08,                0.085
         1.22249e-08,                 0.09
         1.40234e-08,                0.095
         1.60478e-08,                  0.1
         1.83252e-08,                0.105
         2.08861e-08,                 0.11
         2.37648e-08,                0.115
         2.69995e-08,                 0.12
         3.06332e-08,                0.125
          3.4714e-08,                 0.13
          3.9296e-08,                0.135
         4.44399e-08,                 0.14
         5.02137e-08,                0.145
          5.6694e-08,                 0.15
         6.39666e-08,                0.155
         7.21283e-08,                 0.16
         8.12875e-08,                0.165
         9.15664e-08,                 0.17
         1.03103e-07,                0.175
         1.16051e-07,                 0.18
         1.30585e-07,                0.185
         1.46902e-07,                 0.19
         1.65223e-07,                0.195
         1.85798e-07,                  0.2
         2.08909e-07,                0.205
         2.34874e-07,                 0.21
         2.64053e-07,                0.215
         2.96852e-07,                 0.22
          3.3373e-07,                0.225
         3.75209e-07,                 0.23
         4.21877e-07,                0.235
         4.74403e-07,                 0.24
         5.33543e-07,                0.245
         6.00156e-07,                 0.25
         6.75219e-07,                0.255
         7.59839e-07,                 0.26
         8.55278e-07,                0.265
         9.62969e-07,                 0.27
         1.08455e-06,                0.275
         1.22188e-06,                 0.28
         1.37708e-06,                0.285
         1.55258e-06,                 0.29
         1.75115e-06,                0.295
         1.97596e-06,                  0.3
         2.23065e-06,                0.305
         2.51937e-06,                 0.31
         2.84689e-06,                0.315
         3.21869e-06,                 0.32
         3.64107e-06,                0.325
         4.12127e-06,                 0.33
         4.66765e-06,                0.335
         5.28982e-06,                 0.34
         5.99891e-06,                0.345
         6.80776e-06,                 0.35
         7.73124e-06,                0.355
          8.7866e-06,                 0.36
         9.99383e-06,                0.365
         1.13762e-05,                 0.37
         1.29607e-05,                0.375
          1.4779e-05,                 0.38
         1.68678e-05,                0.385
         1.92701e-05,                 0.39
         2.20365e-05,                0.395
         2.52259e-05,                  0.4
         2.89079e-05,                0.405
         3.31642e-05,                 0.41
         3.80914e-05,                0.415
         4.38034e-05,                 0.42
         5.04353e-05,                0.425
         5.81473e-05,                 0.43
         6.71301e-05,                0.435
         7.76108e-05,                 0.44
          8.9861e-05,                0.445
         0.000104206,                 0.45
         0.000121037,                0.455
         0.000140824,                 0.46
         0.000164136,                0.465
         0.000191661,                 0.47
         0.000224239,                0.475
         0.000262889,                 0.48
         0.000308863,                0.485
         0.000363695,                 0.49
         0.000429281,                0.495
         0.000507964,                  0.5
         0.000602662,                0.505
         0.000717021,                 0.51
         0.000855618,                0.515
          0.00102423,                 0.52
           0.0012302,                0.525
          0.00135002,               0.5275
          0.00148288,                 0.53
          0.00163037,               0.5325
          0.00179432,                0.535
          0.00197677,               0.5375
          0.00218009,                 0.54
          0.00240698,               0.5425
          0.00266052,                0.545
          0.00294425,               0.5475
          0.00326227,                 0.55
          0.00361927,               0.5525
          0.00402071,                0.555
           0.0044729,               0.5575
          0.00498316,                 0.56
          0.00556003,               0.5625
           0.0062135,                0.565
          0.00695525,               0.5675
          0.00779901,                 0.57
          0.00876097,               0.5725
          0.00986026,                0.575
           0.0111196,               0.5775
            0.012566,                 0.58
           0.0142317,               0.5825
           0.0161555,                0.585
            0.018384,               0.5875
           0.0209734,                 0.59
           0.0239922,               0.5925
           0.0275235,                0.595
           0.0316692,               0.5975
           0.0365544,                  0.6
           0.0423333,               0.6025
           0.0491968,                0.605
           0.0573821,               0.6075
           0.0671844,                 0.61
           0.0789721,               0.6125
           0.0932049,                0.615
            0.110455,               0.6175
            0.131433,                 0.62
            0.157009,               0.6225
            0.188234,                0.625
            0.226337,               0.6275
            0.272686,                 0.63
            0.328665,               0.6325
            0.395423,                0.635
            0.473423,               0.6375
            0.561775,                 0.64
            0.657457,               0.6425
            0.754745,                0.645
             0.84546,               0.6475
            0.920479,                 0.65
             0.97228,               0.6525
            0.997306,                0.655
            0.996756,               0.6575
            0.975487,                 0.66
            0.939946,               0.6625
             0.89633,                0.665
            0.849578,               0.6675
             0.80312,                 0.67
            0.718554,                0.675
             0.64965,                 0.68
            0.596403,                0.685
            0.556632,                 0.69
            0.527925,                0.695
            0.508231,                  0.7

