------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
           0.0220719,                0.005
            0.043304,                 0.01
            0.063743,                0.015
           0.0834321,                 0.02
            0.102412,                0.025
            0.120719,                 0.03
            0.138389,                0.035
            0.155453,                 0.04
            0.171943,                0.045
            0.187886,                 0.05
            0.203309,                0.055
            0.218237,                 0.06
            0.232693,                0.065
            0.246699,                 0.07
            0.260275,                0.075
             0.27344,                 0.08
            0.286213,                0.085
             0.29861,                 0.09
            0.310648,                0.095
            0.322342,                  0.1
            0.333707,                0.105
            0.344755,                 0.11
              0.3555,                0.115
            0.365954,                 0.12
            0.376128,                0.125
            0.386034,                 0.13
            0.395681,                0.135
            0.405079,                 0.14
            0.414238,                0.145
            0.423167,                 0.15
            0.431873,                0.155
            0.440366,                 0.16
            0.448653,                0.165
             0.45674,                 0.17
            0.464636,                0.175
            0.472346,                 0.18
            0.479877,                0.185
            0.487235,                 0.19
            0.494426,                0.195
            0.501455,                  0.2
            0.508327,                0.205
            0.515048,                 0.21
            0.521623,                0.215
            0.528056,                 0.22
            0.534351,                0.225
            0.540513,                 0.23
            0.546546,                0.235
            0.552453,                 0.24
            0.558239,                0.245
            0.563908,                 0.25
            0.569462,                0.255
            0.574905,                 0.26
             0.58024,                0.265
             0.58547,                 0.27
            0.590599,                0.275
            0.595628,                 0.28
            0.600562,                0.285
            0.605402,                 0.29
            0.610151,                0.295
            0.614812,                  0.3
            0.619387,                0.305
            0.623878,                 0.31
            0.628287,                0.315
            0.632617,                 0.32
            0.636869,                0.325
            0.641046,                 0.33
            0.645149,                0.335
            0.649181,                 0.34
            0.653143,                0.345
            0.657037,                 0.35
            0.660865,                0.355
            0.664628,                 0.36
            0.668327,                0.365
            0.671965,                 0.37
            0.675543,                0.375
            0.679062,                 0.38
            0.682523,                0.385
            0.685929,                 0.39
            0.689279,                0.395
            0.692576,                  0.4
            0.695821,                0.405
            0.699015,                 0.41
            0.702159,                0.415
            0.705254,                 0.42
            0.708301,                0.425
            0.711302,                 0.43
            0.714257,                0.435
            0.717167,                 0.44
            0.720033,                0.445
            0.722857,                 0.45
            0.725639,                0.455
            0.728379,                 0.46
             0.73108,                0.465
            0.733741,                 0.47
            0.736364,                0.475
            0.738949,                 0.48
            0.741498,                0.485
             0.74401,                 0.49
            0.746486,                0.495
            0.748928,                  0.5
            0.751336,                0.505
             0.75371,                 0.51
            0.756052,                0.515
            0.758361,                 0.52
            0.760639,                0.525
            0.762886,                 0.53
            0.765103,                0.535
            0.767291,                 0.54
            0.769449,                0.545
            0.771578,                 0.55
             0.77368,                0.555
            0.775753,                 0.56
              0.7778,                0.565
            0.779821,                 0.57
            0.781815,                0.575
            0.783784,                 0.58
            0.785727,                0.585
            0.787646,                 0.59
            0.789541,                0.595
            0.791412,                  0.6
            0.793259,                0.605
            0.795083,                 0.61
            0.796885,                0.615
            0.798665,                 0.62
            0.800423,                0.625
             0.80216,                 0.63
            0.803875,                0.635
             0.80557,                 0.64
            0.807244,                0.645
            0.808899,                 0.65
            0.810533,                0.655
            0.812148,                 0.66
            0.813745,                0.665
            0.815322,                 0.67
            0.816881,                0.675
            0.818422,                 0.68
            0.819946,                0.685
            0.821451,                 0.69
             0.82294,                0.695
            0.824411,                  0.7

