------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.34349e-09,                0.005
         2.08596e-09,               0.0075
         2.87908e-09,                 0.01
         3.72564e-09,               0.0125
         4.62858e-09,                0.015
         5.59098e-09,               0.0175
         6.61609e-09,                 0.02
         7.70733e-09,               0.0225
          8.8683e-09,                0.025
         1.14148e-08,                 0.03
         1.42881e-08,                0.035
         1.75246e-08,                 0.04
         2.11642e-08,                0.045
         2.52511e-08,                 0.05
         2.98345e-08,                0.055
         3.49684e-08,                 0.06
          4.0713e-08,                0.065
         4.71347e-08,                 0.07
          5.4307e-08,                0.075
         6.23114e-08,                 0.08
          7.1238e-08,                0.085
         8.11867e-08,                 0.09
         9.22682e-08,                0.095
         1.04605e-07,                  0.1
         1.18333e-07,                0.105
         1.33602e-07,                 0.11
          1.5058e-07,                0.115
         1.69451e-07,                 0.12
         1.90421e-07,                0.125
         2.13718e-07,                 0.13
         2.39593e-07,                0.135
         2.68328e-07,                 0.14
         3.00234e-07,                0.145
         3.35657e-07,                 0.15
         3.74981e-07,                0.155
         4.18633e-07,                 0.16
          4.6709e-07,                0.165
         5.20878e-07,                 0.17
         5.80586e-07,                0.175
          6.4687e-07,                 0.18
         7.20457e-07,                0.185
          8.0216e-07,                 0.19
         8.92884e-07,                0.195
         9.93639e-07,                  0.2
         1.10555e-06,                0.205
         1.22988e-06,                 0.21
         1.36802e-06,                0.215
         1.52155e-06,                 0.22
         1.69223e-06,                0.225
           1.882e-06,                 0.23
         2.09308e-06,                0.235
          2.3279e-06,                 0.24
         2.58924e-06,                0.245
         2.88018e-06,                 0.25
         3.20418e-06,                0.255
         3.56513e-06,                 0.26
          3.9674e-06,                0.265
         4.41591e-06,                 0.27
         4.91616e-06,                0.275
         5.47439e-06,                 0.28
          6.0976e-06,                0.285
         6.79367e-06,                 0.29
         7.57153e-06,                0.295
         8.44123e-06,                  0.3
         9.41414e-06,                0.305
         1.05031e-05,                 0.31
         1.17227e-05,                0.315
         1.30895e-05,                 0.32
          1.4622e-05,                0.325
         1.63416e-05,                 0.33
         1.82724e-05,                0.335
         2.04419e-05,                 0.34
         2.28812e-05,                0.345
         2.56261e-05,                 0.35
         2.87171e-05,                0.355
         3.22008e-05,                 0.36
         3.61303e-05,                0.365
         4.05663e-05,                 0.37
         4.55788e-05,                0.375
         5.12478e-05,                 0.38
         5.76654e-05,                0.385
         6.49378e-05,                 0.39
         7.31871e-05,                0.395
         8.25546e-05,                  0.4
         9.32036e-05,                0.405
         0.000105323,                 0.41
         0.000119133,                0.415
         0.000134888,                 0.42
         0.000152886,                0.425
         0.000173472,                 0.43
         0.000197053,                0.435
         0.000224101,                 0.44
         0.000255175,                0.445
         0.000290929,                 0.45
         0.000332134,                0.455
         0.000379704,                 0.46
         0.000434718,                0.465
          0.00049846,                 0.47
         0.000572457,                0.475
         0.000658536,                 0.48
         0.000758883,                0.485
         0.000876123,                 0.49
          0.00101343,                0.495
          0.00117462,                  0.5
          0.00136436,                0.505
           0.0015883,                 0.51
           0.0018534,                0.515
          0.00216817,                 0.52
          0.00254313,                0.525
          0.00299134,                 0.53
          0.00352907,                0.535
          0.00417671,                 0.54
          0.00495998,                0.545
          0.00591147,                 0.55
          0.00707279,                0.555
          0.00774829,               0.5575
          0.00849741,                 0.56
          0.00932934,               0.5625
           0.0102545,                0.565
            0.011285,               0.5675
           0.0124344,                 0.57
           0.0137186,               0.5725
           0.0151557,                0.575
           0.0167667,               0.5775
           0.0185758,                 0.58
           0.0206111,               0.5825
           0.0229051,                0.585
           0.0254959,               0.5875
           0.0284277,                 0.59
           0.0317524,               0.5925
           0.0355305,                0.595
           0.0398335,               0.5975
           0.0447452,                  0.6
           0.0503645,               0.6025
           0.0568081,                0.605
            0.064214,               0.6075
           0.0727455,                 0.61
           0.0825955,               0.6125
           0.0939919,                0.615
            0.107203,               0.6175
            0.122546,                 0.62
            0.140386,               0.6225
             0.16115,                0.625
            0.185321,               0.6275
            0.213438,                 0.63
            0.246084,               0.6325
            0.283857,                0.635
            0.327319,               0.6375
             0.37692,                 0.64
            0.432879,               0.6425
            0.495026,                0.645
            0.562619,               0.6475
            0.634168,                 0.65
            0.707329,               0.6525
            0.778955,                0.655
            0.845366,               0.6575
            0.902847,                 0.66
            0.948272,               0.6625
             0.97966,                0.665
            0.996477,               0.6675
             0.99958,                 0.67
            0.990883,               0.6725
             0.97287,                0.675
            0.948149,               0.6775
             0.91912,                 0.68
            0.855732,                0.685
            0.793621,                 0.69
            0.738059,                0.695
            0.690849,                  0.7

