------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.15148e-30,                0.005
         2.87733e-30,              0.00625
          3.6944e-30,               0.0075
         4.61204e-30,              0.00875
          5.6405e-30,                 0.01
         6.79099e-30,              0.01125
         8.07577e-30,               0.0125
         9.50824e-30,              0.01375
         1.11031e-29,                0.015
         1.28763e-29,              0.01625
         1.48453e-29,               0.0175
         1.70294e-29,              0.01875
         1.94494e-29,                 0.02
          2.2128e-29,              0.02125
         2.50903e-29,               0.0225
         2.83633e-29,              0.02375
         3.19768e-29,                0.025
         3.59631e-29,              0.02625
         4.03576e-29,               0.0275
         4.51988e-29,              0.02875
         5.05287e-29,                 0.03
         5.63932e-29,              0.03125
         6.28422e-29,               0.0325
         6.99303e-29,              0.03375
         7.77168e-29,                0.035
         9.56503e-29,               0.0375
         1.17234e-28,                 0.04
         1.43169e-28,               0.0425
          1.7429e-28,                0.045
         2.11585e-28,               0.0475
         2.56228e-28,                 0.05
          3.0961e-28,               0.0525
         3.73381e-28,                0.055
         4.49497e-28,               0.0575
         5.40277e-28,                 0.06
         6.48469e-28,               0.0625
         7.77329e-28,                0.065
         9.30716e-28,               0.0675
          1.1132e-27,                 0.07
          1.3302e-27,               0.0725
         1.58814e-27,                0.075
          1.8946e-27,               0.0775
         2.25861e-27,                 0.08
         2.69082e-27,               0.0825
         3.20388e-27,                0.085
         3.81275e-27,               0.0875
         4.53519e-27,                 0.09
         5.39221e-27,               0.0925
         6.40873e-27,                0.095
         7.61426e-27,               0.0975
          9.0438e-27,                  0.1
         1.07388e-26,               0.1025
         1.27485e-26,                0.105
         1.51311e-26,               0.1075
         1.79559e-26,                 0.11
         2.13048e-26,               0.1125
          2.5275e-26,                0.115
         2.99821e-26,               0.1175
          3.5563e-26,                 0.12
         4.21803e-26,               0.1225
         5.00271e-26,                0.125
         5.93326e-26,               0.1275
          7.0369e-26,                 0.13
         8.34598e-26,               0.1325
         9.89894e-26,                0.135
         1.17415e-25,               0.1375
         1.39279e-25,                 0.14
         1.65228e-25,               0.1425
         1.96031e-25,                0.145
         2.32602e-25,               0.1475
         2.76029e-25,                 0.15
         3.27609e-25,               0.1525
         3.88885e-25,                0.155
         4.61696e-25,               0.1575
         5.48234e-25,                 0.16
         6.51112e-25,               0.1625
         7.73446e-25,                0.165
         9.18954e-25,               0.1675
         1.09207e-24,                 0.17
         1.29809e-24,               0.1725
         1.54335e-24,                0.175
         1.83539e-24,               0.1775
         2.18326e-24,                 0.18
         2.59774e-24,               0.1825
         3.09176e-24,                0.185
         3.68077e-24,               0.1875
         4.38327e-24,                 0.19
         5.22142e-24,               0.1925
         6.22177e-24,                0.195
         7.41614e-24,               0.1975
         8.84267e-24,                  0.2
         1.05471e-23,               0.2025
         1.25845e-23,                0.205
         1.50207e-23,               0.2075
         1.79349e-23,                 0.21
         2.14224e-23,               0.2125
         2.55978e-23,                0.215
         3.05987e-23,               0.2175
          3.6591e-23,                 0.22
         4.37744e-23,               0.2225
         5.23893e-23,                0.225
         6.27259e-23,               0.2275
         7.51338e-23,                 0.23
          9.0035e-23,               0.2325
         1.07939e-22,                0.235
         1.29462e-22,               0.2375
         1.55347e-22,                 0.24
         1.86495e-22,               0.2425
         2.23993e-22,                0.245
         2.69161e-22,               0.2475
         3.23595e-22,                 0.25
         3.89232e-22,               0.2525
         4.68418e-22,                0.255
         5.64005e-22,               0.2575
         6.79451e-22,                 0.26
         8.18963e-22,               0.2625
         9.87654e-22,                0.265
         1.19174e-21,               0.2675
         1.43881e-21,                 0.27
         1.73808e-21,               0.2725
         2.10079e-21,                0.275
         2.54069e-21,               0.2775
         3.07451e-21,                 0.28
         3.72274e-21,               0.2825
         4.51038e-21,                0.285
         5.46806e-21,               0.2875
         6.63325e-21,                 0.29
         8.05188e-21,               0.2925
         9.78024e-21,                0.295
         1.18874e-20,               0.2975
         1.44583e-20,                  0.3
          1.7597e-20,               0.3025
         2.14319e-20,                0.305
         2.61208e-20,               0.3075
         3.18581e-20,                 0.31
         3.51928e-20,              0.31125
         3.88836e-20,               0.3125
         4.29693e-20,              0.31375
         4.74931e-20,                0.315
         5.25029e-20,              0.31625
          5.8052e-20,               0.3175
         6.41997e-20,              0.31875
         7.10119e-20,                 0.32
          7.8562e-20,              0.32125
         8.69316e-20,               0.3225
         9.62116e-20,              0.32375
         1.06503e-19,                0.325
         1.17919e-19,              0.32625
         1.30584e-19,               0.3275
         1.44638e-19,              0.32875
         1.60237e-19,                 0.33
         1.77555e-19,              0.33125
         1.96785e-19,               0.3325
         2.18143e-19,              0.33375
         2.41869e-19,                0.335
         2.68232e-19,              0.33625
         2.97531e-19,               0.3375
         3.30101e-19,              0.33875
         3.66316e-19,                 0.34
         4.06591e-19,              0.34125
         4.51392e-19,               0.3425
         5.01241e-19,              0.34375
         5.56718e-19,                0.345
         6.18474e-19,              0.34625
         6.87234e-19,               0.3475
         7.63813e-19,              0.34875
          8.4912e-19,                 0.35
         9.44171e-19,              0.35125
         1.05011e-18,               0.3525
          1.1682e-18,              0.35375
         1.29989e-18,                0.355
         1.44676e-18,              0.35625
         1.61062e-18,               0.3575
         1.79347e-18,              0.35875
         1.99756e-18,                 0.36
         2.22543e-18,              0.36125
         2.47991e-18,               0.3625
         2.76418e-18,              0.36375
         3.08181e-18,                0.365
         3.43682e-18,              0.36625
         3.83371e-18,               0.3675
         4.27754e-18,              0.36875
           4.774e-18,                 0.37
         5.32948e-18,              0.37125
         5.95117e-18,               0.3725
         6.64717e-18,              0.37375
         7.42657e-18,                0.375
         8.29962e-18,              0.37625
         9.27785e-18,               0.3775
         1.03743e-17,              0.37875
         1.16035e-17,                 0.38
          1.2982e-17,              0.38125
         1.45285e-17,               0.3825
         1.62638e-17,              0.38375
         1.82117e-17,                0.385
         2.03988e-17,              0.38625
         2.28554e-17,               0.3875
         2.56154e-17,              0.38875
         2.87173e-17,                 0.39
         3.22046e-17,              0.39125
         3.61265e-17,               0.3925
         4.05385e-17,              0.39375
         4.55034e-17,                0.395
         5.10925e-17,              0.39625
         5.73864e-17,               0.3975
         6.44761e-17,              0.39875
         7.24653e-17,                  0.4
         8.14709e-17,              0.40125
         9.16259e-17,               0.4025
         1.03081e-16,              0.40375
         1.16007e-16,                0.405
         1.30599e-16,              0.40625
         1.47076e-16,               0.4075
         1.65689e-16,              0.40875
         1.86723e-16,                 0.41
         2.10501e-16,              0.41125
         2.37392e-16,               0.4125
         2.67815e-16,              0.41375
         3.02247e-16,                0.415
          3.4123e-16,              0.41625
         3.85384e-16,               0.4175
         4.35415e-16,              0.41875
         4.92127e-16,                 0.42
         5.56439e-16,              0.42125
         6.29398e-16,               0.4225
         7.12201e-16,              0.42375
         8.06216e-16,                0.425
         9.13006e-16,              0.42625
         1.03436e-15,               0.4275
         1.17232e-15,              0.42875
         1.32922e-15,                 0.43
         1.50776e-15,              0.43125
           1.711e-15,               0.4325
         1.94245e-15,              0.43375
         2.20617e-15,                0.435
         2.50678e-15,              0.43625
         2.84961e-15,               0.4375
         3.24076e-15,              0.43875
         3.68727e-15,                 0.44
          4.1972e-15,              0.44125
         4.77986e-15,               0.4425
         5.44595e-15,              0.44375
         6.20778e-15,                0.445
         7.07955e-15,              0.44625
         8.07766e-15,               0.4475
         9.22098e-15,              0.44875
         1.05313e-14,                 0.45
         1.20339e-14,              0.45125
         1.37579e-14,               0.4525
         1.57369e-14,              0.45375
         1.80099e-14,                0.455
         2.06221e-14,              0.45625
         2.36258e-14,               0.4575
         2.70815e-14,              0.45875
         3.10597e-14,                 0.46
          3.5642e-14,              0.46125
         4.09233e-14,               0.4625
         4.70138e-14,              0.46375
