------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         8.39774e-09,                0.005
         1.29886e-08,               0.0075
         1.78579e-08,                 0.01
         2.30196e-08,               0.0125
         2.84878e-08,                0.015
         3.42777e-08,               0.0175
         4.04048e-08,                 0.02
         4.68857e-08,               0.0225
         5.37375e-08,                0.025
          6.8627e-08,                 0.03
         8.52274e-08,                0.035
         1.03708e-07,                 0.04
         1.24254e-07,                0.045
         1.47068e-07,                 0.05
         1.72374e-07,                0.055
         2.00413e-07,                 0.06
         2.31454e-07,                0.065
         2.65789e-07,                 0.07
         3.03739e-07,                0.075
         3.45655e-07,                 0.08
         3.91924e-07,                0.085
         4.42967e-07,                 0.09
         4.99249e-07,                0.095
         5.61278e-07,                  0.1
         6.29613e-07,                0.105
         7.04866e-07,                 0.11
         7.87709e-07,                0.115
          8.7888e-07,                 0.12
          9.7919e-07,                0.125
         1.08953e-06,                 0.13
         1.21088e-06,                0.135
         1.34431e-06,                 0.14
           1.491e-06,                0.145
         1.65226e-06,                 0.15
         1.82952e-06,                0.155
         2.02434e-06,                 0.16
         2.23846e-06,                0.165
         2.47379e-06,                 0.17
         2.73243e-06,                0.175
         3.01669e-06,                 0.18
         3.32911e-06,                0.185
         3.67253e-06,                 0.19
         4.05003e-06,                0.195
         4.46504e-06,                  0.2
         4.92135e-06,                0.205
         5.42313e-06,                 0.21
         5.97499e-06,                0.215
         6.58203e-06,                 0.22
         7.24991e-06,                0.225
         7.98486e-06,                 0.23
          8.7938e-06,                0.235
         9.68439e-06,                 0.24
         1.06651e-05,                0.245
         1.17454e-05,                 0.25
         1.29357e-05,                0.255
         1.42475e-05,                 0.26
         1.56938e-05,                0.265
         1.72889e-05,                 0.27
         1.90488e-05,                0.275
          2.0991e-05,                 0.28
         2.31355e-05,                0.285
          2.5504e-05,                 0.29
         2.81213e-05,                0.295
         3.10147e-05,                  0.3
         3.42147e-05,                0.305
         3.77554e-05,                 0.31
         4.16752e-05,                0.315
         4.60169e-05,                 0.32
         5.08282e-05,                0.325
          5.6163e-05,                 0.33
         6.20816e-05,                0.335
         6.86517e-05,                 0.34
         7.59496e-05,                0.345
         8.40608e-05,                 0.35
         9.30821e-05,                0.355
         0.000103122,                 0.36
         0.000114304,                0.365
         0.000126767,                 0.37
         0.000140667,                0.375
         0.000156183,                 0.38
         0.000173516,                0.385
         0.000192896,                 0.39
         0.000214583,                0.395
         0.000238873,                  0.4
         0.000266104,                0.405
         0.000296661,                 0.41
         0.000330985,                0.415
          0.00036958,                 0.42
         0.000413024,                0.425
          0.00046198,                 0.43
         0.000517212,                0.435
         0.000579599,                 0.44
         0.000650156,                0.445
         0.000730056,                 0.45
         0.000820658,                0.455
          0.00092354,                 0.46
          0.00104054,                0.465
          0.00117379,                 0.47
           0.0013258,                0.475
          0.00149949,                 0.48
          0.00169829,                0.485
          0.00192626,                 0.49
          0.00218816,                0.495
          0.00248965,                  0.5
          0.00283742,                0.505
          0.00323946,                 0.51
           0.0037053,                0.515
          0.00424635,                 0.52
          0.00487634,                0.525
          0.00561185,                 0.53
          0.00647293,                0.535
          0.00748401,                 0.54
          0.00867488,                0.545
           0.0100821,                 0.55
           0.0117507,                0.555
           0.0137365,                 0.56
           0.0161088,                0.565
           0.0189544,                 0.57
            0.022382,                0.575
           0.0265293,                 0.58
           0.0315708,                0.585
           0.0377292,                 0.59
           0.0413134,               0.5925
           0.0452896,                0.595
           0.0497063,               0.5975
           0.0546187,                  0.6
           0.0600893,               0.6025
           0.0661894,                0.605
           0.0729996,               0.6075
           0.0806119,                 0.61
           0.0891302,               0.6125
           0.0986725,                0.615
            0.109372,               0.6175
            0.121378,                 0.62
            0.134859,               0.6225
            0.150001,                0.625
            0.167011,               0.6275
            0.186112,                 0.63
            0.207547,               0.6325
            0.231568,                0.635
            0.258434,               0.6375
            0.288396,                 0.64
            0.321681,               0.6425
            0.358472,                0.645
            0.398874,               0.6475
            0.442878,                 0.65
            0.540834,                0.655
            0.648389,                 0.66
            0.757527,                0.665
            0.856853,                 0.67
            0.934577,                0.675
            0.982719,                 0.68
            0.999852,                0.685
            0.990596,                 0.69
            0.962731,                0.695
            0.924195,                  0.7

