------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.34416e-19,                0.005
         1.75128e-19,              0.00625
         2.19055e-19,               0.0075
         2.66399e-19,              0.00875
         3.17376e-19,                 0.01
         3.72217e-19,              0.01125
         4.31162e-19,               0.0125
         4.94469e-19,              0.01375
         5.62407e-19,                0.015
         7.13347e-19,               0.0175
         8.86481e-19,                 0.02
         1.08461e-18,               0.0225
         1.31086e-18,                0.025
         1.56874e-18,               0.0275
         1.86216e-18,                 0.03
         2.19549e-18,               0.0325
         2.57364e-18,                0.035
         3.00205e-18,               0.0375
         3.48684e-18,                 0.04
         4.03483e-18,               0.0425
         4.65363e-18,                0.045
         5.35174e-18,               0.0475
         6.13865e-18,                 0.05
         7.02497e-18,               0.0525
         8.02253e-18,                0.055
         9.14452e-18,               0.0575
         1.04057e-17,                 0.06
         1.18225e-17,               0.0625
         1.34133e-17,                0.065
         1.51985e-17,               0.0675
         1.72011e-17,                 0.07
         1.94465e-17,               0.0725
         2.19631e-17,                0.075
         2.47828e-17,               0.0775
          2.7941e-17,                 0.08
         3.14772e-17,               0.0825
         3.54355e-17,                0.085
         3.98652e-17,               0.0875
         4.48212e-17,                 0.09
         5.03649e-17,               0.0925
         5.65646e-17,                0.095
         6.34968e-17,               0.0975
         7.12467e-17,                  0.1
         7.99095e-17,               0.1025
         8.95914e-17,                0.105
         1.00411e-16,               0.1075
         1.12501e-16,                 0.11
         1.26009e-16,               0.1125
           1.411e-16,                0.115
          1.5796e-16,               0.1175
         1.76793e-16,                 0.12
          1.9783e-16,               0.1225
         2.21328e-16,                0.125
         2.47575e-16,               0.1275
         2.76892e-16,                 0.13
         3.09638e-16,               0.1325
         3.46214e-16,                0.135
         3.87069e-16,               0.1375
         4.32705e-16,                 0.14
         4.83684e-16,               0.1425
         5.40632e-16,                0.145
         6.04253e-16,               0.1475
         6.75332e-16,                 0.15
         7.54749e-16,               0.1525
         8.43488e-16,                0.155
         9.42653e-16,               0.1575
         1.05348e-15,                 0.16
         1.17734e-15,               0.1625
          1.3158e-15,                0.165
         1.47059e-15,               0.1675
         1.64364e-15,                 0.17
         1.83715e-15,               0.1725
         2.05356e-15,                0.175
          2.2956e-15,               0.1775
         2.56636e-15,                 0.18
         2.86928e-15,               0.1825
         3.20824e-15,                0.185
         3.58759e-15,               0.1875
         4.01219e-15,                 0.19
         4.48755e-15,               0.1925
          5.0198e-15,                0.195
         5.61588e-15,               0.1975
         6.28355e-15,                  0.2
         7.03156e-15,               0.2025
         7.86974e-15,                0.205
         8.80915e-15,               0.2075
         9.86222e-15,                 0.21
          1.1043e-14,               0.2125
         1.23672e-14,                0.215
         1.38526e-14,               0.2175
         1.55192e-14,                 0.22
         1.73895e-14,               0.2225
          1.9489e-14,                0.225
         2.18462e-14,               0.2275
         2.44936e-14,                 0.23
         2.74675e-14,               0.2325
         3.08091e-14,                0.235
         3.45649e-14,               0.2375
         3.87872e-14,                 0.24
         4.35355e-14,               0.2425
         4.88766e-14,                0.245
         5.48864e-14,               0.2475
         6.16504e-14,                 0.25
         6.92656e-14,               0.2525
         7.78417e-14,                0.255
         8.75029e-14,               0.2575
         9.83898e-14,                 0.26
         1.10662e-13,               0.2625
           1.245e-13,                0.265
         1.40108e-13,               0.2675
          1.5772e-13,                 0.27
         1.77599e-13,               0.2725
         2.00045e-13,                0.275
         2.25397e-13,               0.2775
         2.54043e-13,                 0.28
         2.86422e-13,               0.2825
         3.23034e-13,                0.285
         3.64448e-13,               0.2875
         4.11311e-13,                 0.29
         4.64362e-13,               0.2925
          5.2444e-13,                0.295
         5.92503e-13,               0.2975
         6.69645e-13,                  0.3
         7.57112e-13,               0.3025
         8.56328e-13,                0.305
         9.68918e-13,               0.3075
         1.09674e-12,                 0.31
         1.24192e-12,               0.3125
         1.40689e-12,                0.315
         1.59442e-12,               0.3175
         1.80771e-12,                 0.32
         2.05041e-12,               0.3225
         2.32669e-12,                0.325
         2.64137e-12,               0.3275
         2.99994e-12,                 0.33
         3.40875e-12,               0.3325
         3.87506e-12,                0.335
         4.40723e-12,               0.3375
         5.01488e-12,                 0.34
         5.70909e-12,               0.3425
         6.50262e-12,                0.345
         7.41017e-12,               0.3475
          8.4487e-12,                 0.35
          9.6378e-12,               0.3525
         1.10001e-11,                0.355
         1.25617e-11,               0.3575
         1.43528e-11,                 0.36
         1.64085e-11,               0.3625
         1.87692e-11,                0.365
          2.1482e-11,               0.3675
         2.46012e-11,                 0.37
         2.81902e-11,               0.3725
         3.23225e-11,                0.375
         3.70833e-11,               0.3775
         4.25723e-11,                 0.38
          4.8905e-11,               0.3825
         5.62163e-11,                0.385
         6.46637e-11,               0.3875
         7.44308e-11,                 0.39
         8.57323e-11,               0.3925
         9.88191e-11,                0.395
         1.13985e-10,               0.3975
         1.31574e-10,                  0.4
         1.51991e-10,               0.4025
         1.75709e-10,                0.405
         2.03284e-10,               0.4075
         2.35373e-10,                 0.41
         2.72746e-10,               0.4125
         3.16311e-10,                0.415
         3.67143e-10,               0.4175
         4.26506e-10,                 0.42
           4.959e-10,               0.4225
         5.77097e-10,                0.425
         6.72199e-10,               0.4275
         7.83699e-10,                 0.43
         9.14561e-10,               0.4325
         1.06831e-09,                0.435
         1.24913e-09,               0.4375
         1.46205e-09,                 0.44
         1.71303e-09,               0.4425
         2.00921e-09,                0.445
         2.35917e-09,               0.4475
         2.77315e-09,                 0.45
         3.26348e-09,               0.4525
         3.84498e-09,                0.455
          4.5355e-09,               0.4575
         5.35657e-09,                 0.46
         6.33422e-09,               0.4625
         7.49995e-09,                0.465
         8.89195e-09,               0.4675
         1.05566e-08,                 0.47
         1.25504e-08,               0.4725
          1.4942e-08,                0.475
         1.78157e-08,               0.4775
         2.12741e-08,                 0.48
         2.54436e-08,               0.4825
         3.04791e-08,                0.485
         3.65715e-08,               0.4875
         4.39566e-08,                 0.49
         5.29259e-08,               0.4925
         6.38412e-08,                0.495
         7.71521e-08,               0.4975
         9.34192e-08,                  0.5
         1.02874e-07,              0.50125
         1.13343e-07,               0.5025
         1.24942e-07,              0.50375
         1.37802e-07,                0.505
         1.52066e-07,              0.50625
         1.67899e-07,               0.5075
         1.85483e-07,              0.50875
         2.05026e-07,                 0.51
         2.26759e-07,              0.51125
         2.50943e-07,               0.5125
         2.77873e-07,              0.51375
         3.07882e-07,                0.515
         3.41344e-07,              0.51625
         3.78685e-07,               0.5175
         4.20384e-07,              0.51875
         4.66984e-07,                 0.52
         5.19101e-07,              0.52125
         5.77434e-07,               0.5225
         6.42776e-07,              0.52375
         7.16029e-07,                0.525
         7.98219e-07,              0.52625
         8.90515e-07,               0.5275
          9.9425e-07,              0.52875
         1.11095e-06,                 0.53
         1.24234e-06,              0.53125
         1.39043e-06,               0.5325
         1.55749e-06,              0.53375
         1.74615e-06,                0.535
         1.95939e-06,              0.53625
         2.20069e-06,               0.5375
         2.47402e-06,              0.53875
         2.78398e-06,                 0.54
         3.13587e-06,              0.54125
         3.53582e-06,               0.5425
         3.99095e-06,              0.54375
         4.50951e-06,                0.545
         5.10107e-06,              0.54625
         5.77681e-06,               0.5475
         6.54973e-06,              0.54875
         7.43506e-06,                 0.55
         8.45057e-06,              0.55125
         9.61717e-06,               0.5525
         1.09594e-05,              0.55375
         1.25061e-05,                0.555
         1.42913e-05,              0.55625
         1.63555e-05,               0.5575
         1.87465e-05,              0.55875
         2.15209e-05,                 0.56
         2.47466e-05,              0.56125
         2.85043e-05,               0.5625
          3.2891e-05,              0.56375
          3.8023e-05,                0.565
         4.40405e-05,              0.56625
          5.1113e-05,               0.5675
          5.9446e-05,              0.56875
         6.92897e-05,                 0.57
         8.09496e-05,              0.57125
         9.48006e-05,               0.5725
         0.000111304,              0.57375
          0.00013103,                0.575
         0.000154688,              0.57625
         0.000183163,               0.5775
         0.000217565,              0.57875
         0.000259295,                 0.58
         0.000310134,              0.58125
         0.000372352,               0.5825
         0.000408612,             0.583125
         0.000448874,              0.58375
         0.000493641,             0.584375
         0.000543486,                0.585
         0.000599067,             0.585625
         0.000661136,              0.58625
         0.000730562,             0.586875
         0.000808342,               0.5875
         0.000895632,             0.588125
          0.00099377,              0.58875
          0.00110431,             0.589375
          0.00122907,                 0.59
          0.00137016,             0.590625
          0.00153006,              0.59125
          0.00171171,             0.591875
          0.00191853,               0.5925
          0.00215463,             0.593125
          0.00242486,              0.59375
          0.00273502,             0.594375
          0.00309208,                0.595
          0.00350443,             0.595625
          0.00398224,              0.59625
          0.00453788,             0.596875
          0.00518651,               0.5975
          0.00594679,             0.598125
          0.00684184,              0.59875
          0.00790055,             0.599375
          0.00915921,                  0.6
           0.0106638,             0.600625
           0.0124731,              0.60125
           0.0146629,             0.601875
           0.0173318,               0.6025
            0.018885,             0.602812
           0.0206098,             0.603125
            0.022529,             0.603438
           0.0246695,              0.60375
           0.0270624,             0.604062
            0.029744,             0.604375
           0.0327569,             0.604688
           0.0361511,                0.605
           0.0399857,             0.605312
           0.0443306,             0.605625
           0.0492691,             0.605938
           0.0549003,              0.60625
           0.0613431,             0.606562
           0.0687403,             0.606875
            0.077264,             0.607187
           0.0871226,               0.6075
           0.0985683,             0.607812
            0.111908,             0.608125
            0.127513,             0.608437
            0.145837,              0.60875
            0.167425,             0.609062
            0.192933,             0.609375
            0.223136,             0.609687
            0.258933,                 0.61
            0.301324,             0.610313
            0.351349,             0.610625
            0.409958,             0.610938
            0.477767,              0.61125
            0.554655,             0.611563
            0.639211,             0.611875
            0.728108,             0.612188
            0.815676,               0.6125
            0.894154,             0.612812
            0.955006,             0.613125
            0.991188,             0.613438
            0.999408,              0.61375
