------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         0.000135197,                0.005
         0.000275989,                 0.01
         0.000422569,                0.015
         0.000575138,                 0.02
         0.000733903,                0.025
         0.000899078,                 0.03
          0.00107089,                0.035
          0.00124955,                 0.04
          0.00143532,                0.045
          0.00162843,                 0.05
          0.00182913,                0.055
          0.00203769,                 0.06
          0.00225438,                0.065
          0.00247948,                 0.07
          0.00271328,                0.075
          0.00295607,                 0.08
          0.00320817,                0.085
          0.00346991,                 0.09
           0.0037416,                0.095
          0.00402359,                  0.1
          0.00431624,                0.105
          0.00461992,                 0.11
            0.004935,                0.115
          0.00526187,                 0.12
          0.00560095,                0.125
          0.00595264,                 0.13
          0.00631739,                0.135
          0.00669565,                 0.14
          0.00708787,                0.145
          0.00749454,                 0.15
          0.00791616,                0.155
          0.00835323,                 0.16
           0.0088063,                0.165
           0.0092759,                 0.17
          0.00976261,                0.175
            0.010267,                 0.18
           0.0107897,                0.185
           0.0113314,                 0.19
           0.0118926,                0.195
           0.0124741,                  0.2
           0.0130765,                0.205
           0.0137006,                 0.21
           0.0143471,                0.215
           0.0150168,                 0.22
           0.0157104,                0.225
           0.0164289,                 0.23
            0.017173,                0.235
           0.0179436,                 0.24
           0.0187416,                0.245
            0.019568,                 0.25
           0.0204238,                0.255
           0.0213098,                 0.26
           0.0222273,                0.265
           0.0231771,                 0.27
           0.0241606,                0.275
           0.0251786,                 0.28
           0.0262326,                0.285
           0.0273236,                 0.29
           0.0284529,                0.295
           0.0296219,                  0.3
           0.0308318,                0.305
           0.0320841,                 0.31
           0.0333801,                0.315
           0.0347214,                 0.32
           0.0361094,                0.325
           0.0375457,                 0.33
           0.0390319,                0.335
           0.0405697,                 0.34
           0.0421608,                0.345
           0.0438069,                 0.35
           0.0455099,                0.355
           0.0472716,                 0.36
            0.049094,                0.365
            0.050979,                 0.37
           0.0529286,                0.375
            0.054945,                 0.38
           0.0570303,                0.385
           0.0591867,                 0.39
           0.0614165,                0.395
           0.0637219,                  0.4
           0.0661055,                0.405
           0.0685695,                 0.41
           0.0711165,                0.415
           0.0737491,                 0.42
           0.0764699,                0.425
           0.0792816,                 0.43
           0.0821869,                0.435
           0.0851886,                 0.44
           0.0882895,                0.445
           0.0914926,                 0.45
           0.0948008,                0.455
           0.0982171,                 0.46
            0.101745,                0.465
            0.105386,                 0.47
            0.109146,                0.475
            0.113025,                 0.48
            0.117029,                0.485
             0.12116,                 0.49
             0.12542,                0.495
            0.129815,                  0.5
            0.134346,                0.505
            0.139018,                 0.51
            0.143833,                0.515
            0.148795,                 0.52
            0.153908,                0.525
            0.159173,                 0.53
            0.164595,                0.535
            0.170177,                 0.54
            0.175921,                0.545
            0.181832,                 0.55
            0.187911,                0.555
            0.194162,                 0.56
            0.200587,                0.565
             0.20719,                 0.57
            0.213972,                0.575
            0.220935,                 0.58
            0.228082,                0.585
            0.235416,                 0.59
            0.242936,                0.595
            0.250646,                  0.6
            0.258545,                0.605
            0.266636,                 0.61
            0.274918,                0.615
            0.283393,                 0.62
            0.292059,                0.625
            0.300916,                 0.63
            0.309965,                0.635
            0.319202,                 0.64
            0.328628,                0.645
            0.338239,                 0.65
            0.348034,                0.655
            0.358008,                 0.66
             0.36816,                0.665
            0.378484,                 0.67
            0.388976,                0.675
            0.399631,                 0.68
            0.410443,                0.685
            0.421406,                 0.69
            0.432514,                0.695
            0.443759,                  0.7

