------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         7.21902e-16,                0.005
         1.15541e-15,               0.0075
         1.64398e-15,                 0.01
         2.19324e-15,               0.0125
         2.80932e-15,                0.015
         3.49897e-15,               0.0175
         4.26953e-15,                 0.02
         5.12907e-15,               0.0225
         6.08638e-15,                0.025
         7.15111e-15,               0.0275
         8.33378e-15,                 0.03
          9.6459e-15,               0.0325
         1.11001e-14,                0.035
           1.271e-14,               0.0375
         1.44908e-14,                 0.04
         1.64588e-14,               0.0425
          1.8632e-14,                0.045
           2.103e-14,               0.0475
         2.36743e-14,                 0.05
         2.65882e-14,               0.0525
         2.97973e-14,                0.055
         3.33296e-14,               0.0575
         3.72155e-14,                 0.06
         4.14884e-14,               0.0625
         4.61847e-14,                0.065
         5.13441e-14,               0.0675
         5.70101e-14,                 0.07
          7.0056e-14,                0.075
         8.57569e-14,                 0.08
         1.04631e-13,                0.085
         1.27297e-13,                 0.09
         1.54493e-13,                0.095
         1.87101e-13,                  0.1
         2.26172e-13,                0.105
         2.72962e-13,                 0.11
         3.28973e-13,                0.115
         3.95996e-13,                 0.12
         4.76177e-13,                0.125
         5.72078e-13,                 0.13
         6.86766e-13,                0.135
         8.23912e-13,                 0.14
         9.87909e-13,                0.145
         1.18402e-12,                 0.15
         1.41857e-12,                0.155
         1.69912e-12,                 0.16
         2.03475e-12,                0.165
         2.43639e-12,                 0.17
         2.91713e-12,                0.175
         3.49276e-12,                 0.18
         4.18223e-12,                0.185
         5.00841e-12,                 0.19
         5.99883e-12,                0.195
         7.18671e-12,                  0.2
         8.61213e-12,                0.205
         1.03235e-11,                 0.21
         1.23795e-11,                0.215
          1.4851e-11,                 0.22
         1.78237e-11,                0.225
          2.1402e-11,                 0.23
         2.57122e-11,                0.235
          3.0908e-11,                 0.24
         3.71761e-11,                0.245
         4.47442e-11,                 0.25
         5.38897e-11,                0.255
         6.49511e-11,                 0.26
         7.83422e-11,                0.265
         9.45691e-11,                 0.27
         1.14252e-10,                0.275
         1.38152e-10,                 0.28
         1.67202e-10,                0.285
         2.02553e-10,                 0.29
          2.4562e-10,                0.295
         2.98148e-10,                  0.3
         3.62295e-10,                0.305
         4.40731e-10,                 0.31
         4.86311e-10,               0.3125
         5.36763e-10,                0.315
         5.92624e-10,               0.3175
         6.54497e-10,                 0.32
         7.23052e-10,               0.3225
         7.99039e-10,                0.325
         8.83294e-10,               0.3275
         9.76751e-10,                 0.33
         1.08045e-09,               0.3325
         1.19557e-09,                0.335
          1.3234e-09,               0.3375
         1.46542e-09,                 0.34
         1.62325e-09,               0.3425
         1.79873e-09,                0.345
         1.99391e-09,               0.3475
          2.2111e-09,                 0.35
         2.45288e-09,               0.3525
         2.72216e-09,                0.355
         3.02219e-09,               0.3575
         3.35664e-09,                 0.36
         3.72963e-09,               0.3625
         4.14579e-09,                0.365
         4.61034e-09,               0.3675
         5.12916e-09,                 0.37
         5.70887e-09,               0.3725
         6.35694e-09,                0.375
         7.08181e-09,               0.3775
         7.89299e-09,                 0.38
         8.80124e-09,               0.3825
         9.81872e-09,                0.385
         1.09592e-08,               0.3875
         1.22383e-08,                 0.39
         1.36736e-08,               0.3925
         1.52851e-08,                0.395
         1.70956e-08,               0.3975
         1.91308e-08,                  0.4
         2.14201e-08,               0.4025
         2.39967e-08,                0.405
         2.68987e-08,               0.4075
          3.0169e-08,                 0.41
         3.38571e-08,               0.4125
          3.8019e-08,                0.415
         4.27189e-08,               0.4175
           4.803e-08,                 0.42
         5.40361e-08,               0.4225
         6.08332e-08,                0.425
         6.85312e-08,               0.4275
         7.72562e-08,                 0.43
         8.71529e-08,               0.4325
         9.83877e-08,                0.435
         1.11152e-07,               0.4375
         1.25666e-07,                 0.44
         1.42183e-07,               0.4425
         1.60997e-07,                0.445
         1.82446e-07,               0.4475
         2.06922e-07,                 0.45
         2.34878e-07,               0.4525
         2.66839e-07,                0.455
         3.03415e-07,               0.4575
         3.45316e-07,                 0.46
         3.93365e-07,               0.4625
         4.48523e-07,                0.465
         5.11912e-07,               0.4675
         5.84841e-07,                 0.47
         6.68842e-07,               0.4725
         7.65712e-07,                0.475
         8.77556e-07,               0.4775
         1.00685e-06,                 0.48
         1.15651e-06,               0.4825
         1.32998e-06,                0.485
         1.53131e-06,               0.4875
         1.76532e-06,                 0.49
         2.03769e-06,               0.4925
         2.35519e-06,                0.495
         2.72588e-06,               0.4975
         3.15936e-06,                  0.5
         3.66709e-06,               0.5025
         4.26283e-06,                0.505
         4.96306e-06,               0.5075
         5.78762e-06,                 0.51
         6.76044e-06,               0.5125
         7.91047e-06,                0.515
         9.27276e-06,               0.5175
           1.089e-05,                 0.52
         1.28141e-05,               0.5225
         1.51086e-05,                0.525
         1.78516e-05,               0.5275
          2.1139e-05,                 0.53
         2.50893e-05,               0.5325
         2.98493e-05,                0.535
         3.56019e-05,               0.5375
         4.25752e-05,                 0.54
         5.10557e-05,               0.5425
         6.14043e-05,                0.545
         6.74174e-05,              0.54625
         7.40778e-05,               0.5475
         8.14624e-05,              0.54875
         8.96578e-05,                 0.55
         9.87625e-05,              0.55125
         0.000108888,               0.5525
         0.000120161,              0.55375
         0.000132726,                0.555
         0.000146747,              0.55625
          0.00016241,               0.5575
         0.000179932,              0.55875
         0.000199557,                 0.56
         0.000221566,              0.56125
         0.000246283,               0.5625
         0.000274082,              0.56375
         0.000305393,                0.565
         0.000340714,              0.56625
         0.000380622,               0.5675
         0.000425789,              0.56875
         0.000476995,                 0.57
         0.000535155,              0.57125
         0.000601338,               0.5725
           0.0006768,              0.57375
          0.00076302,                0.575
         0.000861746,              0.57625
         0.000975051,               0.5775
           0.0011054,              0.57875
          0.00125574,                 0.58
          0.00142958,              0.58125
          0.00163119,               0.5825
          0.00186567,              0.58375
          0.00213926,                0.585
          0.00245955,              0.58625
          0.00283583,               0.5875
          0.00327957,              0.58875
            0.003805,                 0.59
          0.00442983,              0.59125
          0.00517635,               0.5925
          0.00607269,              0.59375
          0.00715476,                0.595
          0.00846864,              0.59625
           0.0100741,               0.5975
           0.0110097,             0.598125
           0.0120493,              0.59875
           0.0132067,             0.599375
           0.0144978,                  0.6
           0.0159409,             0.600625
           0.0175576,              0.60125
           0.0193729,             0.601875
            0.021416,               0.6025
           0.0237212,             0.603125
           0.0263292,              0.60375
           0.0292877,             0.604375
           0.0326535,                0.605
           0.0364945,             0.605625
           0.0408914,              0.60625
           0.0459415,             0.606875
           0.0517618,               0.6075
