------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.09971e-11,                0.005
         6.41229e-11,               0.0075
         8.91569e-11,                 0.01
         1.16226e-10,               0.0125
         1.45464e-10,                0.015
         1.77015e-10,               0.0175
         2.11031e-10,                 0.02
         2.47672e-10,               0.0225
          2.8711e-10,                0.025
         3.29527e-10,               0.0275
         3.75116e-10,                 0.03
         4.24083e-10,               0.0325
         4.76645e-10,                0.035
         5.93494e-10,                 0.04
         7.27692e-10,                0.045
         8.81525e-10,                 0.05
         1.05757e-09,                0.055
         1.25874e-09,                 0.06
         1.48831e-09,                0.065
         1.74997e-09,                 0.07
          2.0479e-09,                0.075
          2.3868e-09,                 0.08
         2.77197e-09,                0.085
         3.20939e-09,                 0.09
         3.70582e-09,                0.095
         4.26887e-09,                  0.1
         4.90715e-09,                0.105
         5.63037e-09,                 0.11
         6.44949e-09,                0.115
         7.37691e-09,                 0.12
         8.42661e-09,                0.125
         9.61442e-09,                 0.13
         1.09582e-08,                0.135
         1.24783e-08,                 0.14
         1.41974e-08,                0.145
         1.61416e-08,                 0.15
         1.83402e-08,                0.155
         2.08263e-08,                 0.16
         2.36377e-08,                0.165
         2.68169e-08,                 0.17
         3.04125e-08,                0.175
         3.44793e-08,                 0.18
         3.90797e-08,                0.185
         4.42845e-08,                 0.19
         5.01742e-08,                0.195
         5.68402e-08,                  0.2
         6.43868e-08,                0.205
         7.29323e-08,                 0.21
         8.26117e-08,                0.215
         9.35788e-08,                 0.22
         1.06009e-07,                0.225
         1.20103e-07,                 0.23
         1.36088e-07,                0.235
         1.54226e-07,                 0.24
         1.74816e-07,                0.245
         1.98198e-07,                 0.25
         2.24765e-07,                0.255
         2.54965e-07,                 0.26
         2.89312e-07,                0.265
         3.28396e-07,                 0.27
         3.72896e-07,                0.275
          4.2359e-07,                 0.28
         4.81377e-07,                0.285
         5.47291e-07,                 0.29
         6.22523e-07,                0.295
         7.08448e-07,                  0.3
         8.06656e-07,                0.305
         9.18984e-07,                 0.31
         1.04756e-06,                0.315
         1.19485e-06,                 0.32
         1.36371e-06,                0.325
         1.55747e-06,                 0.33
         1.77999e-06,                0.335
         2.03578e-06,                 0.34
         2.33007e-06,                0.345
         2.66899e-06,                 0.35
          3.0597e-06,                0.355
         3.51059e-06,                 0.36
         4.03147e-06,                0.365
         4.63389e-06,                 0.37
          5.3314e-06,                0.375
         6.13999e-06,                 0.38
         7.07849e-06,                0.385
         8.16919e-06,                 0.39
         9.43843e-06,                0.395
         1.09175e-05,                  0.4
         1.26435e-05,                0.405
         1.46608e-05,                 0.41
          1.7022e-05,                0.415
         1.97902e-05,                 0.42
         2.30412e-05,                0.425
         2.68656e-05,                 0.43
         3.13727e-05,                0.435
         3.66946e-05,                 0.44
         4.29908e-05,                0.445
          5.0455e-05,                 0.45
         5.93231e-05,                0.455
         6.98827e-05,                 0.46
         8.24862e-05,                0.465
         9.75664e-05,                 0.47
         0.000115657,                0.475
         0.000137418,                 0.48
          0.00016367,                0.485
         0.000195435,                 0.49
         0.000233996,                0.495
         0.000280963,                  0.5
         0.000338377,                0.505
         0.000371784,               0.5075
         0.000408827,                 0.51
         0.000449943,               0.5125
         0.000495627,                0.515
         0.000546444,               0.5175
         0.000603035,                 0.52
         0.000666129,               0.5225
         0.000736559,                0.525
         0.000815278,               0.5275
         0.000903376,                 0.53
           0.0010021,               0.5325
           0.0011129,                0.535
          0.00123743,               0.5375
          0.00137759,                 0.54
           0.0015356,               0.5425
          0.00171404,                0.545
          0.00191589,               0.5475
          0.00214462,                 0.55
           0.0024043,               0.5525
          0.00269971,                0.555
          0.00303644,               0.5575
           0.0034211,                 0.56
           0.0038615,               0.5625
           0.0043669,                0.565
          0.00494835,               0.5675
          0.00561904,                 0.57
          0.00639479,               0.5725
          0.00729466,                0.575
           0.0083417,               0.5775
          0.00956394,                 0.58
           0.0109956,               0.5825
           0.0126785,                0.585
           0.0146645,               0.5875
           0.0170176,                 0.59
           0.0198177,               0.5925
           0.0231648,                0.595
           0.0271854,               0.5975
           0.0320393,                  0.6
            0.037931,               0.6025
           0.0451228,                0.605
           0.0493084,              0.60625
           0.0539531,               0.6075
           0.0591151,              0.60875
            0.064861,                 0.61
           0.0712665,              0.61125
           0.0784183,               0.6125
           0.0864154,              0.61375
           0.0953707,                0.615
            0.105413,              0.61625
             0.11669,               0.6175
            0.129367,              0.61875
            0.143633,                 0.62
            0.159699,              0.62125
            0.177802,               0.6225
            0.198202,              0.62375
            0.221182,                0.625
            0.247042,              0.62625
            0.276092,               0.6275
            0.308635,              0.62875
             0.34495,                 0.63
            0.385254,              0.63125
            0.429664,               0.6325
            0.478143,              0.63375
            0.530431,                0.635
            0.643904,               0.6375
             0.76137,                 0.64
            0.868664,               0.6425
            0.949729,                0.645
             0.99316,               0.6475
            0.997205,                 0.65
            0.969209,               0.6525
            0.920739,                0.655
            0.862718,               0.6575
            0.803056,                 0.66
            0.746468,               0.6625
            0.695265,                0.665
            0.611393,                 0.67
            0.550298,                0.675
            0.507468,                 0.68
            0.478721,                0.685
            0.460915,                 0.69
            0.451852,                0.695
            0.450047,                  0.7

