------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.23835e-25,                0.005
         2.95738e-25,              0.00625
          3.7513e-25,               0.0075
         4.62645e-25,              0.00875
         5.58963e-25,                 0.01
         6.64818e-25,              0.01125
         7.81003e-25,               0.0125
          9.0837e-25,              0.01375
         1.04784e-24,                0.015
         1.20039e-24,              0.01625
          1.3671e-24,               0.0175
          1.5491e-24,              0.01875
         1.74763e-24,                 0.02
         1.96402e-24,              0.02125
          2.1997e-24,               0.0225
         2.73516e-24,                0.025
         3.36774e-24,               0.0275
         4.11333e-24,                 0.03
          4.9903e-24,               0.0325
         6.01985e-24,                0.035
         7.22651e-24,               0.0375
         8.63858e-24,                 0.04
         1.02887e-23,               0.0425
         1.22147e-23,                0.045
         1.44601e-23,               0.0475
          1.7075e-23,                 0.05
         2.01175e-23,               0.0525
         2.36543e-23,                0.055
         2.77626e-23,               0.0575
          3.2531e-23,                 0.06
         3.80622e-23,               0.0625
         4.44741e-23,                0.065
         5.19028e-23,               0.0675
         6.05052e-23,                 0.07
          7.0462e-23,               0.0725
         8.19818e-23,                0.075
         9.53044e-23,               0.0775
         1.10707e-22,                 0.08
         1.28508e-22,               0.0825
         1.49075e-22,                0.085
         1.72832e-22,               0.0875
         2.00268e-22,                 0.09
         2.31944e-22,               0.0925
         2.68511e-22,                0.095
         3.10715e-22,               0.0975
          3.5942e-22,                  0.1
         4.15619e-22,               0.1025
         4.80458e-22,                0.105
         5.55262e-22,               0.1075
         6.41554e-22,                 0.11
         7.41093e-22,               0.1125
          8.5591e-22,                0.115
         9.88346e-22,               0.1175
          1.1411e-21,                 0.12
         1.31731e-21,               0.1225
         1.52055e-21,                0.125
         1.75499e-21,               0.1275
         2.02544e-21,                 0.13
         2.33744e-21,               0.1325
          2.6974e-21,                0.135
         3.11272e-21,               0.1375
         3.59197e-21,                 0.14
         4.14502e-21,               0.1425
         4.78333e-21,                0.145
         5.52012e-21,               0.1475
          6.3707e-21,                 0.15
         7.35277e-21,               0.1525
         8.48683e-21,                0.155
         9.79661e-21,               0.1575
         1.13096e-20,                 0.16
         1.30575e-20,               0.1625
         1.50774e-20,                0.165
         1.74118e-20,               0.1675
         2.01104e-20,                 0.17
         2.32305e-20,               0.1725
         2.68388e-20,                0.175
         3.10126e-20,               0.1775
         3.58416e-20,                 0.18
         4.14299e-20,               0.1825
         4.78985e-20,                0.185
          5.5388e-20,               0.1875
         6.40615e-20,                 0.19
          7.4109e-20,               0.1925
         8.57511e-20,                0.195
         9.92449e-20,               0.1975
         1.14889e-19,                  0.2
         1.33031e-19,               0.2025
         1.54077e-19,                0.205
         1.78499e-19,               0.2075
         2.06846e-19,                 0.21
          2.3976e-19,               0.2125
          2.7799e-19,                0.215
         3.22407e-19,               0.2175
         3.74032e-19,                 0.22
         4.34053e-19,               0.2225
         5.03861e-19,                0.225
          5.8508e-19,               0.2275
         6.79611e-19,                 0.23
         7.89674e-19,               0.2325
         9.17869e-19,                0.235
         1.06724e-18,               0.2375
         1.24136e-18,                 0.24
         1.44439e-18,               0.2425
         1.68125e-18,                0.245
         1.95767e-18,               0.2475
          2.2804e-18,                 0.25
         2.65736e-18,               0.2525
         3.09784e-18,                0.255
         3.61277e-18,               0.2575
           4.215e-18,                 0.26
         4.91965e-18,               0.2625
         5.74452e-18,                0.265
         6.71056e-18,               0.2675
         7.84246e-18,                 0.27
         9.16933e-18,               0.2725
         1.07255e-17,                0.275
         1.25515e-17,               0.2775
         1.46952e-17,                 0.28
         1.72132e-17,               0.2825
         2.01723e-17,                0.285
         2.36516e-17,               0.2875
         2.77447e-17,                 0.29
         3.25626e-17,               0.2925
         3.82366e-17,                0.295
         4.49226e-17,               0.2975
         5.28056e-17,                  0.3
         6.21052e-17,               0.3025
         7.30823e-17,                0.305
         8.60471e-17,               0.3075
         1.01369e-16,                 0.31
         1.19487e-16,               0.3125
         1.40925e-16,                0.315
         1.66308e-16,               0.3175
         1.96379e-16,                 0.32
         2.32029e-16,               0.3225
          2.7432e-16,                0.325
         3.24523e-16,               0.3275
         3.84158e-16,                 0.33
         4.55045e-16,               0.3325
         5.39368e-16,                0.335
         6.39744e-16,               0.3375
         7.59315e-16,                 0.34
         9.01857e-16,               0.3425
         1.07191e-15,                0.345
         1.27493e-15,               0.3475
         1.51751e-15,                 0.35
         1.80756e-15,               0.3525
         2.15468e-15,                0.355
          2.5704e-15,               0.3575
          3.0687e-15,                 0.36
         3.66649e-15,               0.3625
         4.38424e-15,                0.365
         5.24675e-15,               0.3675
         6.28414e-15,                 0.37
         7.53298e-15,               0.3725
         9.03773e-15,                0.375
         1.08525e-14,               0.3775
         1.30433e-14,                 0.38
         1.56904e-14,               0.3825
         1.88921e-14,                0.385
         2.27684e-14,               0.3875
         2.74662e-14,                 0.39
         3.31654e-14,               0.3925
         4.00868e-14,                0.395
         4.85014e-14,               0.3975
         5.87424e-14,                  0.4
         7.12201e-14,               0.4025
         8.64402e-14,                0.405
         1.05027e-13,               0.4075
         1.27751e-13,                 0.41
         1.40955e-13,              0.41125
         1.55568e-13,               0.4125
         1.71746e-13,              0.41375
          1.8966e-13,                0.415
         2.09505e-13,              0.41625
         2.31495e-13,               0.4175
          2.5587e-13,              0.41875
         2.82897e-13,                 0.42
         3.12874e-13,              0.42125
         3.46135e-13,               0.4225
         3.83051e-13,              0.42375
         4.24038e-13,                0.425
         4.69561e-13,              0.42625
         5.20139e-13,               0.4275
         5.76352e-13,              0.42875
         6.38851e-13,                 0.43
         7.08362e-13,              0.43125
         7.85702e-13,               0.4325
         8.71782e-13,              0.43375
         9.67626e-13,                0.435
         1.07438e-12,              0.43625
         1.19333e-12,               0.4375
         1.32593e-12,              0.43875
         1.47378e-12,                 0.44
         1.63873e-12,              0.44125
          1.8228e-12,               0.4425
          2.0283e-12,              0.44375
         2.25783e-12,                0.445
         2.51428e-12,              0.44625
         2.80095e-12,               0.4475
         3.12151e-12,              0.44875
         3.48014e-12,                 0.45
         3.88153e-12,              0.45125
         4.33097e-12,               0.4525
         4.83442e-12,              0.45375
         5.39864e-12,                0.455
         6.03124e-12,              0.45625
         6.74083e-12,               0.4575
         7.53716e-12,              0.45875
         8.43124e-12,                 0.46
         9.43555e-12,              0.46125
         1.05642e-11,               0.4625
         1.18333e-11,              0.46375
         1.32609e-11,                0.465
         1.48676e-11,              0.46625
         1.66769e-11,               0.4675
         1.87153e-11,              0.46875
         2.10131e-11,                 0.47
         2.36046e-11,              0.47125
         2.65289e-11,               0.4725
         2.98307e-11,              0.47375
         3.35605e-11,                0.475
         3.77763e-11,              0.47625
         4.25442e-11,               0.4775
         4.79395e-11,              0.47875
         5.40484e-11,                 0.48
         6.09693e-11,              0.48125
          6.8815e-11,               0.4825
         7.77145e-11,              0.48375
         8.78156e-11,                0.485
         9.92877e-11,              0.48625
         1.12325e-10,               0.4875
         1.27152e-10,              0.48875
         1.44024e-10,                 0.49
         1.63236e-10,              0.49125
         1.85129e-10,               0.4925
         2.10094e-10,              0.49375
         2.38581e-10,                0.495
         2.71112e-10,              0.49625
         3.08287e-10,               0.4975
         3.50802e-10,              0.49875
          3.9946e-10,                  0.5
         4.55192e-10,              0.50125
         5.19076e-10,               0.5025
         5.92365e-10,              0.50375
         6.76511e-10,                0.505
         7.73203e-10,              0.50625
         8.84406e-10,               0.5075
         1.01241e-09,              0.50875
         1.15988e-09,                 0.51
         1.32993e-09,              0.51125
          1.5262e-09,               0.5125
         1.75295e-09,              0.51375
         2.01515e-09,                0.515
         2.31865e-09,              0.51625
          2.6703e-09,               0.5175
         3.07816e-09,              0.51875
          3.5517e-09,                 0.52
         4.10209e-09,              0.52125
          4.7425e-09,               0.5225
         5.48847e-09,              0.52375
          6.3584e-09,                0.525
         7.37408e-09,              0.52625
         8.56134e-09,               0.5275
         9.95086e-09,              0.52875
         1.15791e-08,                 0.53
         1.34897e-08,              0.53125
         1.57343e-08,               0.5325
         1.83751e-08,              0.53375
         2.14863e-08,                0.535
         2.51568e-08,              0.53625
         2.94936e-08,               0.5375
         3.46255e-08,              0.53875
         4.07075e-08,                 0.54
         4.79271e-08,              0.54125
         5.65112e-08,               0.5425
          6.6735e-08,              0.54375
         7.89329e-08,                0.545
         9.35124e-08,              0.54625
         1.10971e-07,               0.5475
         1.31918e-07,              0.54875
         1.57099e-07,                 0.55
         1.87433e-07,              0.55125
         2.24052e-07,               0.5525
         2.68357e-07,              0.55375
         3.22083e-07,                0.555
         3.87388e-07,              0.55625
         4.66964e-07,               0.5575
          5.6418e-07,              0.55875
         6.20684e-07,             0.559375
         6.83263e-07,                 0.56
         7.52618e-07,             0.560625
         8.29538e-07,              0.56125
         9.14913e-07,             0.561875
         1.00974e-06,               0.5625
         1.11515e-06,             0.563125
         1.23241e-06,              0.56375
         1.36297e-06,             0.564375
         1.50844e-06,                0.565
         1.67068e-06,             0.565625
         1.85176e-06,              0.56625
         2.05406e-06,             0.566875
         2.28026e-06,               0.5675
         2.53343e-06,             0.568125
         2.81705e-06,              0.56875
          3.1351e-06,             0.569375
         3.49211e-06,                 0.57
         3.89327e-06,             0.570625
         4.34452e-06,              0.57125
         4.85268e-06,             0.571875
         5.42555e-06,               0.5725
         6.07214e-06,             0.573125
          6.8028e-06,              0.57375
         7.62947e-06,             0.574375
         8.56596e-06,                0.575
         9.62825e-06,             0.575625
         1.08349e-05,              0.57625
         1.22074e-05,             0.576875
         1.37708e-05,               0.5775
         1.55543e-05,             0.578125
         1.75922e-05,              0.57875
         1.99244e-05,             0.579375
         2.25978e-05,                 0.58
         2.56678e-05,             0.580625
         2.91996e-05,              0.58125
