------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.32832e-06,                0.005
         4.83533e-06,                 0.01
         7.53223e-06,                0.015
         1.04309e-05,                 0.02
         1.35441e-05,                0.025
          1.6885e-05,                 0.03
          2.0468e-05,                0.035
         2.43081e-05,                 0.04
         2.84214e-05,                0.045
         3.28248e-05,                 0.05
         3.75363e-05,                0.055
         4.25752e-05,                 0.06
         4.79618e-05,                0.065
         5.37176e-05,                 0.07
         5.98656e-05,                0.075
         6.64303e-05,                 0.08
         7.34373e-05,                0.085
         8.09144e-05,                 0.09
         8.88906e-05,                0.095
         9.73971e-05,                  0.1
         0.000106467,                0.105
         0.000116135,                 0.11
         0.000126439,                0.115
         0.000137418,                 0.12
         0.000149115,                0.125
         0.000161574,                 0.13
         0.000174844,                0.135
         0.000188975,                 0.14
         0.000204021,                0.145
          0.00022004,                 0.15
         0.000237094,                0.155
         0.000255247,                 0.16
          0.00027457,                0.165
         0.000295136,                 0.17
         0.000317025,                0.175
         0.000340321,                 0.18
         0.000365114,                0.185
           0.0003915,                 0.19
          0.00041958,                0.195
         0.000449465,                  0.2
         0.000481271,                0.205
         0.000515122,                 0.21
          0.00055115,                0.215
         0.000589498,                 0.22
         0.000630318,                0.225
          0.00067377,                 0.23
         0.000720029,                0.235
          0.00076928,                 0.24
          0.00082172,                0.245
         0.000877561,                 0.25
         0.000937032,                0.255
          0.00100037,                 0.26
          0.00106785,                0.265
          0.00113973,                 0.27
          0.00121632,                0.275
          0.00129794,                 0.28
          0.00138493,                0.285
          0.00147767,                 0.29
          0.00157654,                0.295
          0.00168197,                  0.3
          0.00179442,                0.305
          0.00191438,                 0.31
          0.00204236,                0.315
          0.00217895,                 0.32
          0.00232475,                0.325
          0.00248041,                 0.33
          0.00264665,                0.335
          0.00282421,                 0.34
          0.00301393,                0.345
          0.00321667,                 0.35
          0.00343341,                0.355
          0.00366515,                 0.36
          0.00391302,                0.365
          0.00417821,                 0.37
          0.00446201,                0.375
          0.00476583,                 0.38
          0.00509118,                0.385
          0.00543969,                 0.39
          0.00581314,                0.395
          0.00621345,                  0.4
           0.0066427,                0.405
          0.00710314,                 0.41
          0.00759723,                0.415
          0.00812762,                 0.42
          0.00869719,                0.425
          0.00930909,                 0.43
          0.00996672,                0.435
           0.0106738,                 0.44
           0.0114343,                0.445
           0.0122527,                 0.45
           0.0131337,                0.455
           0.0140826,                 0.46
           0.0151051,                0.465
           0.0162073,                 0.47
            0.017396,                0.475
           0.0186787,                 0.48
           0.0200634,                0.485
            0.021559,                 0.49
            0.023175,                0.495
           0.0249222,                  0.5
            0.026812,                0.505
           0.0288572,                 0.51
           0.0310716,                0.515
           0.0334704,                 0.52
           0.0360703,                0.525
           0.0388895,                 0.53
            0.041948,                0.535
           0.0452677,                 0.54
           0.0488727,                0.545
            0.052789,                 0.55
           0.0570457,                0.555
           0.0616739,                 0.56
           0.0667082,                0.565
            0.072186,                 0.57
           0.0781481,                0.575
           0.0846392,                 0.58
           0.0917074,                0.585
           0.0994051,                 0.59
            0.107789,                0.595
            0.116919,                  0.6
            0.126862,                0.605
            0.137685,                 0.61
            0.149463,                0.615
            0.162273,                 0.62
            0.176195,                0.625
            0.191311,                 0.63
            0.207704,                0.635
            0.225457,                 0.64
            0.244649,                0.645
            0.265355,                 0.65
            0.287641,                0.655
            0.311559,                 0.66
            0.337145,                0.665
            0.364412,                 0.67
            0.393347,                0.675
            0.423903,                 0.68
            0.455992,                0.685
            0.489485,                 0.69
            0.524203,                0.695
            0.559919,                  0.7

