------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         9.76993e-09,                0.005
         1.51061e-08,               0.0075
         2.07627e-08,                 0.01
         2.67554e-08,               0.0125
         3.31004e-08,                0.015
         3.98149e-08,               0.0175
         4.69167e-08,                 0.02
         5.44246e-08,               0.0225
          6.2358e-08,                0.025
         7.95844e-08,                 0.03
          9.8771e-08,                0.035
          1.2011e-07,                 0.04
         1.43811e-07,                0.045
         1.70104e-07,                 0.05
          1.9924e-07,                0.055
         2.31496e-07,                 0.06
         2.67172e-07,                0.065
           3.066e-07,                 0.07
          3.5014e-07,                0.075
          3.9819e-07,                 0.08
         4.51182e-07,                0.085
         5.09594e-07,                 0.09
         5.73946e-07,                0.095
          6.4481e-07,                  0.1
         7.22812e-07,                0.105
         8.08638e-07,                 0.11
         9.03043e-07,                0.115
         1.00685e-06,                 0.12
         1.12097e-06,                0.125
          1.2464e-06,                 0.13
         1.38422e-06,                0.135
         1.53565e-06,                 0.14
         1.70199e-06,                0.145
         1.88469e-06,                 0.15
         2.08535e-06,                0.155
         2.30572e-06,                 0.16
         2.54771e-06,                0.165
         2.81346e-06,                 0.17
         3.10527e-06,                0.175
         3.42573e-06,                 0.18
         3.77765e-06,                0.185
         4.16415e-06,                 0.19
         4.58866e-06,                0.195
         5.05496e-06,                  0.2
         5.56722e-06,                0.205
         6.13005e-06,                 0.21
         6.74853e-06,                0.215
         7.42827e-06,                 0.22
         8.17548e-06,                0.225
         8.99703e-06,                 0.23
          9.9005e-06,                0.235
         1.08943e-05,                 0.24
         1.19877e-05,                0.245
          1.3191e-05,                 0.25
         1.45157e-05,                0.255
         1.59744e-05,                 0.26
         1.75812e-05,                0.265
         1.93517e-05,                 0.27
         2.13032e-05,                0.275
          2.3455e-05,                 0.28
         2.58287e-05,                0.285
          2.8448e-05,                 0.29
         3.13397e-05,                0.295
         3.45333e-05,                  0.3
         3.80621e-05,                0.305
          4.1963e-05,                 0.31
         4.62772e-05,                0.315
         5.10511e-05,                 0.32
         5.63363e-05,                0.325
         6.21908e-05,                 0.33
         6.86794e-05,                0.335
         7.58751e-05,                 0.34
         8.38597e-05,                0.345
         9.27251e-05,                 0.35
         0.000102575,                0.355
         0.000113526,                 0.36
         0.000125709,                0.365
         0.000139273,                 0.37
         0.000154386,                0.375
         0.000171237,                 0.38
         0.000190041,                0.385
         0.000211042,                 0.39
         0.000234516,                0.395
         0.000260778,                  0.4
         0.000290185,                0.405
         0.000323146,                 0.41
         0.000360126,                0.415
         0.000401657,                 0.42
         0.000448349,                0.425
         0.000500899,                 0.43
         0.000560112,                0.435
          0.00062691,                 0.44
         0.000702356,                0.445
          0.00078768,                 0.45
         0.000884303,                0.455
          0.00099387,                 0.46
           0.0011183,                0.465
          0.00125981,                 0.47
            0.001421,                0.475
          0.00160491,                 0.48
          0.00181509,                0.485
          0.00205573,                 0.49
          0.00233175,                0.495
          0.00264897,                  0.5
          0.00301428,                0.505
          0.00343585,                 0.51
          0.00392346,                0.515
          0.00448875,                 0.52
          0.00514572,                0.525
          0.00591123,                 0.53
          0.00680561,                0.535
          0.00785358,                 0.54
           0.0090852,                0.545
           0.0105373,                 0.55
           0.0122549,                0.555
            0.014294,                 0.56
           0.0167236,                0.565
           0.0196297,                 0.57
           0.0231202,                0.575
           0.0273306,                 0.58
           0.0324322,                0.585
           0.0386423,                 0.59
            0.046238,                0.595
           0.0506627,               0.5975
           0.0555739,                  0.6
           0.0610318,               0.6025
           0.0671045,                0.605
            0.073869,               0.6075
           0.0814128,                 0.61
           0.0898344,               0.6125
           0.0992452,                0.615
            0.109771,               0.6175
            0.121552,                 0.62
            0.134745,               0.6225
            0.149525,                0.625
            0.166084,               0.6275
            0.184629,                 0.63
            0.205386,               0.6325
            0.228589,                0.635
            0.254477,               0.6375
            0.283286,                 0.64
            0.315231,               0.6425
             0.35049,                0.645
            0.389175,               0.6475
            0.431304,                 0.65
            0.525252,                0.655
            0.629125,                 0.66
            0.736085,                0.665
            0.835981,                 0.67
            0.917638,                0.675
            0.972534,                 0.68
             0.99773,                0.685
            0.996161,                 0.69
            0.974467,                0.695
            0.940187,                  0.7

