Model,Parameter a,Error a,Parameter b,Error b,R_squared
Ley de Potencias,1.917344494524816,0.002488240422846081,-0.47683991405594967,0.0006345614634490198,0.9991581678630347
Exponencial,7.6167871666905,0.008642042445922713,-1.756918720977038,0.0025143044766889485,0.8452472075922912
Inv. Raíz Cuadrada,1.7570776499248035,0.0027716795409718745,0.17187073329014327,0.004867278905434461,0.9985573066948144
Inversa,0.33557293990327713,0.000533372660071958,1.821461213695696,0.0029094083051870133,0.9525969523379757
