Effective Mass (m0),Folder,Critical Distance Lc (nm),Error dLc (nm),Fit Slope (a),Fit Intercept (b)
0.06,006-06eV,7.044509725533895,0.0001835341951590408,N/A,N/A
0.19,019-06eV,4.183301025332499,0.0010054304919417945,N/A,N/A
0.26,026-06eV,3.5758117995641956,0.0023326160747796365,N/A,N/A
0.48,048-06eV,2.6319131572215584,0.002716216505459723,N/A,N/A
0.6,060-06eV,2.354575046221397,0.0023957427404792675,N/A,N/A
0.7,070-06eV,2.179439016848732,0.0007782369201732031,N/A,N/A
0.82,082-06eV,2.013670250733498,0.00015859788446581646,N/A,N/A
0.98,098-06eV,1.8416943431563877,0.002443116686426494,N/A,N/A
1.1,110-06eV,1.7383855200161389,0.0012851962872411082,N/A,N/A
