Effective Mass (m0),Folder,Critical Distance Lc (nm),Error dLc (nm),Fit Slope (a),Fit Intercept (b)
0.06,006-06eV,11.261296652009879,0.0,N/A,N/A
0.19,019-06eV,7.026043878611685,0.0,N/A,N/A
0.26,026-06eV,12.079312880298371,0.0,N/A,N/A
0.48,048-06eV,2.86506069767544,0.0,N/A,N/A
0.6,060-06eV,16.313700122977675,0.0,N/A,N/A
0.7,070-06eV,-24.971530989075674,0.0,N/A,N/A
0.82,082-06eV,12.739847263486713,0.0,N/A,N/A
0.98,098-06eV,3.075745382131532,0.0,N/A,N/A
1.1,110-06eV,5.85664396983554,0.0,N/A,N/A
