Effective Mass (m0),Folder,Critical Distance Lc (nm),Error dLc (nm),Fit Slope (a),Fit Intercept (b)
0.06,006-06eV,889.4111697709362,0.0,N/A,N/A
0.19,019-06eV,-68.99901006623848,0.0,N/A,N/A
0.26,026-06eV,80.16610256283533,0.0,N/A,N/A
0.48,048-06eV,-255.287684942003,0.0,N/A,N/A
0.6,060-06eV,224.30437633859827,0.0,N/A,N/A
0.7,070-06eV,-742.3324970847946,0.0,N/A,N/A
0.82,082-06eV,103.39408977804607,0.0,N/A,N/A
0.98,098-06eV,-163.03757177007856,0.0,N/A,N/A
1.1,110-06eV,-116.47681528832169,0.0,N/A,N/A
