Effective Mass (m0),Folder,Critical Distance Lc (nm),Error dLc (nm),Fit Slope (a),Fit Intercept (b)
0.06,006-06eV,10.468545821218017,0.0,N/A,N/A
0.19,019-06eV,6.650234628193098,0.0573854176926174,N/A,N/A
0.26,026-06eV,5.661975208722006,0.09930954955209881,N/A,N/A
0.48,048-06eV,4.161760327516485,0.0789532857599049,N/A,N/A
0.6,060-06eV,3.2627699476715053,0.6131858328906814,N/A,N/A
0.7,070-06eV,3.298031894021894,0.3283322669706923,N/A,N/A
0.82,082-06eV,3.0829331260186628,0.24065755075534057,N/A,N/A
0.98,098-06eV,2.85339659882192,0.13151221981675398,N/A,N/A
1.1,110-06eV,2.355929911316352,0.5803893609674251,N/A,N/A
