------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.37449e-17,                0.005
         3.07692e-17,              0.00625
         3.82778e-17,               0.0075
         4.62978e-17,              0.00875
         5.48572e-17,                 0.01
         6.39858e-17,              0.01125
         7.37147e-17,               0.0125
         8.40766e-17,              0.01375
         9.51061e-17,                0.015
         1.19314e-16,               0.0175
         1.46651e-16,                 0.02
          1.7746e-16,               0.0225
         2.12123e-16,                0.025
         2.51058e-16,               0.0275
         2.94728e-16,                 0.03
         3.43644e-16,               0.0325
         3.98369e-16,                0.035
         4.59522e-16,               0.0375
         5.27788e-16,                 0.04
         6.03922e-16,               0.0425
         6.88755e-16,                0.045
         7.83203e-16,               0.0475
         8.88277e-16,                 0.05
         1.00509e-15,               0.0525
         1.13486e-15,                0.055
         1.27895e-15,               0.0575
         1.43885e-15,                 0.06
         1.61619e-15,               0.0625
         1.81278e-15,                0.065
         2.03061e-15,               0.0675
         2.27188e-15,                 0.07
           2.539e-15,               0.0725
         2.83463e-15,                0.075
         3.16171e-15,               0.0775
         3.52346e-15,                 0.08
         3.92344e-15,               0.0825
         4.36558e-15,                0.085
         4.85419e-15,               0.0875
         5.39403e-15,                 0.09
         5.99035e-15,               0.0925
         6.64892e-15,                0.095
         7.37611e-15,               0.0975
         8.17894e-15,                  0.1
         9.06513e-15,               0.1025
         1.00432e-14,                0.105
         1.23136e-14,                 0.11
         1.50774e-14,                0.115
         1.84407e-14,                 0.12
         2.25325e-14,                0.125
         2.75099e-14,                 0.13
         3.35638e-14,                0.135
          4.0927e-14,                 0.14
         4.98829e-14,                0.145
         6.07772e-14,                 0.15
         7.40313e-14,                0.155
         9.01598e-14,                 0.16
         1.09791e-13,                0.165
         1.33693e-13,                 0.17
         1.62806e-13,                0.175
         1.98279e-13,                 0.18
         2.41521e-13,                0.185
         2.94259e-13,                 0.19
         3.58613e-13,                0.195
         4.37184e-13,                  0.2
         5.33173e-13,                0.205
         6.50516e-13,                 0.21
         7.18668e-13,               0.2125
          7.9406e-13,                0.215
         8.77475e-13,               0.2175
         9.69785e-13,                 0.22
         1.07196e-12,               0.2225
         1.18506e-12,                0.225
         1.31031e-12,               0.2275
         1.44901e-12,                 0.23
         1.60267e-12,               0.2325
         1.77291e-12,                0.235
         1.96157e-12,               0.2375
          2.1707e-12,                 0.24
         2.40256e-12,               0.2425
         2.65969e-12,                0.245
         2.94491e-12,               0.2475
         3.26136e-12,                 0.25
         3.61255e-12,               0.2525
          4.0024e-12,                0.255
         4.43527e-12,               0.2575
         4.91602e-12,                 0.26
         5.45011e-12,               0.2625
          6.0436e-12,                0.265
         6.70329e-12,               0.2675
         7.43677e-12,                 0.27
         8.25253e-12,               0.2725
         9.16005e-12,                0.275
           1.017e-11,               0.2775
         1.12941e-11,                 0.28
         1.25459e-11,               0.2825
         1.39402e-11,                0.285
         1.54937e-11,               0.2875
