------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.12551e-32,                0.005
         1.51355e-32,              0.00625
         1.95412e-32,               0.0075
         2.45304e-32,              0.00875
         3.01671e-32,                 0.01
         3.65222e-32,              0.01125
         4.36735e-32,               0.0125
         5.17068e-32,              0.01375
         6.07164e-32,                0.015
         7.08062e-32,              0.01625
         8.20903e-32,               0.0175
         9.46945e-32,              0.01875
         1.08757e-31,                 0.02
         1.24429e-31,              0.02125
         1.41878e-31,               0.0225
         1.61288e-31,              0.02375
         1.82859e-31,                0.025
         2.06813e-31,              0.02625
         2.33393e-31,               0.0275
         2.62865e-31,              0.02875
         2.95523e-31,                 0.03
         3.31688e-31,              0.03125
         3.71712e-31,               0.0325
         4.15983e-31,              0.03375
         4.64926e-31,                0.035
         5.19005e-31,              0.03625
         5.78733e-31,               0.0375
          6.4467e-31,              0.03875
          7.1743e-31,                 0.04
         7.97688e-31,              0.04125
         8.86182e-31,               0.0425
         9.83722e-31,              0.04375
          1.0912e-30,                0.045
         1.33993e-30,               0.0475
         1.64136e-30,                 0.05
         2.00624e-30,               0.0525
          2.4475e-30,                0.055
         2.98065e-30,               0.0575
         3.62431e-30,                 0.06
         4.40083e-30,               0.0625
         5.33703e-30,                0.065
         6.46505e-30,               0.0675
          7.8235e-30,                 0.07
         9.45866e-30,               0.0725
          1.1426e-29,                0.075
         1.37922e-29,               0.0775
         1.66371e-29,                 0.08
         2.00565e-29,               0.0825
         2.41652e-29,                0.085
         2.91013e-29,               0.0875
         3.50299e-29,                 0.09
         4.21497e-29,               0.0925
         5.06985e-29,                0.095
         6.09621e-29,               0.0975
         7.32832e-29,                  0.1
         8.80735e-29,               0.1025
         1.05827e-28,                0.105
         1.27136e-28,               0.1075
         1.52714e-28,                 0.11
         1.83416e-28,               0.1125
         2.20269e-28,                0.115
         2.64509e-28,               0.1175
         3.17619e-28,                 0.12
         3.81382e-28,               0.1225
         4.57945e-28,                0.125
         5.49885e-28,               0.1275
         6.60307e-28,                 0.13
         7.92942e-28,               0.1325
         9.52286e-28,                0.135
         1.14375e-27,               0.1375
         1.37384e-27,                 0.14
         1.65042e-27,               0.1425
         1.98293e-27,                0.145
         2.38278e-27,               0.1475
         2.86371e-27,                 0.15
          3.4423e-27,               0.1525
         4.13856e-27,                0.155
         4.97661e-27,               0.1575
         5.98563e-27,                 0.16
          7.2008e-27,               0.1625
         8.66467e-27,                0.165
         1.04287e-26,               0.1675
          1.2555e-26,                 0.17
         1.51188e-26,               0.1725
         1.82112e-26,                0.175
         2.19423e-26,               0.1775
         2.64456e-26,                 0.18
         3.18829e-26,               0.1825
         3.84502e-26,                0.185
         4.63851e-26,               0.1875
         5.59762e-26,                 0.19
         6.75736e-26,               0.1925
         8.16023e-26,                0.195
          9.8579e-26,               0.1975
         1.19131e-25,                  0.2
         1.44023e-25,               0.2025
         1.74183e-25,                0.205
         2.10742e-25,               0.2075
         2.55077e-25,                 0.21
         3.08867e-25,               0.2125
         3.74157e-25,                0.215
         4.53443e-25,               0.2175
          5.4977e-25,                 0.22
         6.66859e-25,               0.2225
         8.09252e-25,                0.225
         9.82505e-25,               0.2275
         1.19341e-24,                 0.23
         1.45029e-24,               0.2325
         1.76332e-24,                0.235
         2.14499e-24,               0.2375
         2.61058e-24,                 0.24
         3.17887e-24,               0.2425
         3.87289e-24,                0.245
         4.72094e-24,               0.2475
          5.7578e-24,                 0.25
         7.02623e-24,               0.2525
          7.7633e-24,              0.25375
         8.57889e-24,                0.255
         9.48151e-24,              0.25625
         1.04806e-23,               0.2575
         1.15866e-23,              0.25875
         1.28112e-23,                 0.26
         1.41673e-23,              0.26125
         1.56692e-23,               0.2625
          1.7333e-23,              0.26375
         1.91763e-23,                0.265
         2.12188e-23,              0.26625
         2.34824e-23,               0.2675
         2.59914e-23,              0.26875
          2.8773e-23,                 0.27
         3.18572e-23,              0.27125
         3.52776e-23,               0.2725
         3.90713e-23,              0.27375
         4.32799e-23,                0.275
         4.79495e-23,              0.27625
         5.31314e-23,               0.2775
          5.8883e-23,              0.27875
         6.52678e-23,                 0.28
          7.2357e-23,              0.28125
         8.02294e-23,               0.2825
         8.89732e-23,              0.28375
         9.86867e-23,                0.285
         1.09479e-22,              0.28625
         1.21473e-22,               0.2875
         1.34804e-22,              0.28875
         1.49623e-22,                 0.29
         1.66101e-22,              0.29125
         1.84426e-22,               0.2925
          2.0481e-22,              0.29375
         2.27487e-22,                0.295
          2.5272e-22,              0.29625
         2.80803e-22,               0.2975
         3.12064e-22,              0.29875
         3.46869e-22,                  0.3
         3.85628e-22,              0.30125
         4.28798e-22,               0.3025
          4.7689e-22,              0.30375
         5.30477e-22,                0.305
         5.90199e-22,              0.30625
          6.5677e-22,               0.3075
         7.30993e-22,              0.30875
         8.13762e-22,                 0.31
         9.06083e-22,              0.31125
         1.00908e-21,               0.3125
           1.124e-21,              0.31375
         1.25227e-21,                0.315
         1.39546e-21,              0.31625
         1.55534e-21,               0.3175
          1.7339e-21,              0.31875
         1.93335e-21,                 0.32
          2.1562e-21,              0.32125
         2.40525e-21,               0.3225
         2.68363e-21,              0.32375
         2.99487e-21,                0.325
         3.34293e-21,              0.32625
         3.73225e-21,               0.3275
         4.16783e-21,              0.32875
         4.65527e-21,                 0.33
         5.20087e-21,              0.33125
         5.81172e-21,               0.3325
         6.49578e-21,              0.33375
         7.26202e-21,                0.335
          8.1205e-21,              0.33625
         9.08256e-21,               0.3375
          1.0161e-20,              0.33875
         1.13701e-20,                 0.34
         1.27261e-20,              0.34125
         1.42472e-20,               0.3425
          1.5954e-20,              0.34375
         1.78696e-20,                0.345
         2.00201e-20,              0.34625
         2.24349e-20,               0.3475
         2.51472e-20,              0.34875
         2.81945e-20,                 0.35
         3.16189e-20,              0.35125
         3.54684e-20,               0.3525
         3.97967e-20,              0.35375
         4.46646e-20,                0.355
         5.01412e-20,              0.35625
         5.63039e-20,               0.3575
         6.32409e-20,              0.35875
         7.10515e-20,                 0.36
         7.98482e-20,              0.36125
         8.97584e-20,               0.3625
         1.00926e-19,              0.36375
         1.13515e-19,                0.365
         1.27709e-19,              0.36625
         1.43718e-19,               0.3675
          1.6178e-19,              0.36875
         1.82164e-19,                 0.37
         2.05175e-19,              0.37125
          2.3116e-19,               0.3725
         2.60512e-19,              0.37375
         2.93677e-19,                0.375
         3.31164e-19,              0.37625
         3.73547e-19,               0.3775
         4.21483e-19,              0.37875
         4.75714e-19,                 0.38
          5.3709e-19,              0.38125
         6.06572e-19,               0.3825
         6.85257e-19,              0.38375
