------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.93539e-14,                0.005
         7.82927e-14,               0.0075
         1.10412e-13,                 0.01
         1.45992e-13,               0.0125
         1.85337e-13,                0.015
         2.28775e-13,               0.0175
         2.76661e-13,                 0.02
          3.2938e-13,               0.0225
         3.87348e-13,                0.025
         4.51014e-13,               0.0275
         5.20864e-13,                 0.03
         5.97424e-13,               0.0325
         6.81261e-13,                0.035
         7.72991e-13,               0.0375
         8.73275e-13,                 0.04
         9.82833e-13,               0.0425
         1.10244e-12,                0.045
         1.23293e-12,               0.0475
         1.37522e-12,                 0.05
         1.69916e-12,                0.055
         2.08309e-12,                 0.06
         2.53729e-12,                0.065
          3.0738e-12,                 0.07
         3.70664e-12,                0.075
         4.45223e-12,                 0.08
          5.3297e-12,                0.085
         6.36142e-12,                 0.09
         7.57351e-12,                0.095
         8.99652e-12,                  0.1
         1.06661e-11,                0.105
          1.2624e-11,                 0.11
         1.49189e-11,                0.115
         1.76079e-11,                 0.12
         2.07576e-11,                0.125
         2.44463e-11,                 0.13
         2.87653e-11,                0.135
         3.38218e-11,                 0.14
         3.97412e-11,                0.145
         4.66707e-11,                 0.15
         5.47829e-11,                0.155
         6.42803e-11,                 0.16
         7.54007e-11,                0.165
         8.84234e-11,                 0.17
         1.03677e-10,                0.175
         1.21547e-10,                 0.18
         1.42489e-10,                0.185
         1.67038e-10,                 0.19
         1.95824e-10,                0.195
         2.29591e-10,                  0.2
         2.69218e-10,                0.205
          3.1574e-10,                 0.21
         3.70383e-10,                0.215
         4.34597e-10,                 0.22
         5.10096e-10,                0.225
         5.98914e-10,                 0.23
         7.03461e-10,                0.235
         8.26597e-10,                 0.24
          9.7172e-10,                0.245
         1.14287e-09,                 0.25
         1.34486e-09,                0.255
         1.58343e-09,                 0.26
         1.86539e-09,                0.265
         2.19893e-09,                 0.27
         2.59379e-09,                0.275
         3.06165e-09,                 0.28
         3.61649e-09,                0.285
          4.2751e-09,                 0.29
         5.05762e-09,                0.295
         5.98828e-09,                  0.3
         7.09627e-09,                0.305
         8.41677e-09,                 0.31
         9.99225e-09,                0.315
         1.18741e-08,                 0.32
         1.41244e-08,                0.325
         1.68188e-08,                 0.33
         2.00488e-08,                0.335
         2.39259e-08,                 0.34
         2.85859e-08,                0.345
         3.41949e-08,                 0.35
         4.09555e-08,                0.355
         4.91166e-08,                 0.36
         5.89831e-08,                0.365
         7.09305e-08,                 0.37
         8.54215e-08,                0.375
         1.03027e-07,                 0.38
         1.24456e-07,                0.385
         1.50584e-07,                 0.39
         1.82504e-07,                0.395
         2.01049e-07,               0.3975
         2.21576e-07,                  0.4
          2.4431e-07,               0.4025
         2.69501e-07,                0.405
         2.97429e-07,               0.4075
         3.28409e-07,                 0.41
         3.62793e-07,               0.4125
         4.00978e-07,                0.415
         4.43407e-07,               0.4175
         4.90582e-07,                 0.42
         5.43063e-07,               0.4225
         6.01484e-07,                0.425
         6.66559e-07,               0.4275
         7.39092e-07,                 0.43
          8.1999e-07,               0.4325
          9.1028e-07,                0.435
         1.01112e-06,               0.4375
         1.12382e-06,                 0.44
         1.24988e-06,               0.4425
         1.39096e-06,                0.445
         1.54899e-06,               0.4475
         1.72614e-06,                 0.45
         1.92487e-06,               0.4525
         2.14799e-06,                0.455
         2.39871e-06,               0.4575
         2.68069e-06,                 0.46
         2.99807e-06,               0.4625
         3.35565e-06,                0.465
         3.75886e-06,               0.4675
         4.21397e-06,                 0.47
         4.72815e-06,               0.4725
         5.30963e-06,                0.475
         5.96789e-06,               0.4775
         6.71386e-06,                 0.48
         7.56013e-06,               0.4825
         8.52125e-06,                0.485
         9.61403e-06,               0.4875
          1.0858e-05,                 0.49
         1.22757e-05,               0.4925
         1.38936e-05,                0.495
         1.57421e-05,               0.4975
         1.78571e-05,                  0.5
         2.02802e-05,               0.5025
         2.30602e-05,                0.505
         2.62545e-05,               0.5075
         2.99303e-05,                 0.51
         3.41669e-05,               0.5125
         3.90578e-05,                0.515
         4.47137e-05,               0.5175
         5.12658e-05,                 0.52
         5.88698e-05,               0.5225
         6.77117e-05,                0.525
         7.80132e-05,               0.5275
         9.00403e-05,                 0.53
         0.000104112,               0.5325
         0.000120614,                0.535
         0.000140012,               0.5375
         0.000162869,                 0.54
         0.000189874,               0.5425
         0.000221865,                0.545
         0.000259875,               0.5475
          0.00030517,                 0.55
         0.000359323,               0.5525
         0.000424284,                0.555
         0.000502492,               0.5575
         0.000597009,                 0.56
         0.000711702,               0.5625
         0.000851484,                0.565
         0.000932682,              0.56625
          0.00102264,               0.5675
          0.00112242,              0.56875
          0.00123325,                 0.57
          0.00135652,              0.57125
          0.00149382,               0.5725
          0.00164698,              0.57375
          0.00181808,                0.575
          0.00200953,              0.57625
          0.00222412,               0.5775
          0.00246506,              0.57875
          0.00273608,                 0.58
          0.00304151,              0.58125
          0.00338641,               0.5825
          0.00377669,              0.58375
          0.00421929,                0.585
          0.00472238,              0.58625
          0.00529562,               0.5875
          0.00595044,              0.58875
          0.00670047,                 0.59
          0.00756199,              0.59125
          0.00855453,               0.5925
