------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         8.07818e-08,                0.005
         1.70154e-07,                 0.01
         2.68852e-07,                0.015
          3.7767e-07,                 0.02
         4.97467e-07,                0.025
         6.29172e-07,                 0.03
         7.73792e-07,                0.035
         9.32414e-07,                 0.04
         1.10621e-06,                0.045
         1.29647e-06,                 0.05
         1.50455e-06,                0.055
         1.73195e-06,                 0.06
         1.98029e-06,                0.065
          2.2513e-06,                 0.07
         2.54689e-06,                0.075
         2.86909e-06,                 0.08
         3.22013e-06,                0.085
          3.6024e-06,                 0.09
         4.01851e-06,                0.095
         4.47127e-06,                  0.1
         4.96373e-06,                0.105
         5.49921e-06,                 0.11
         6.08129e-06,                0.115
         6.71386e-06,                 0.12
         7.40114e-06,                0.125
          8.1477e-06,                 0.13
         8.95851e-06,                0.135
         9.83895e-06,                 0.14
         1.07949e-05,                0.145
         1.18326e-05,                 0.15
         1.29591e-05,                0.155
         1.41818e-05,                 0.16
         1.55089e-05,                0.165
         1.69492e-05,                 0.17
         1.85123e-05,                0.175
         2.02087e-05,                 0.18
         2.20498e-05,                0.185
         2.40481e-05,                 0.19
         2.62169e-05,                0.195
          2.8571e-05,                  0.2
         3.11265e-05,                0.205
         3.39007e-05,                 0.21
         3.69128e-05,                0.215
         4.01834e-05,                 0.22
         4.37354e-05,                0.225
         4.75933e-05,                 0.23
         5.17843e-05,                0.235
         5.63379e-05,                 0.24
         6.12863e-05,                0.245
          6.6665e-05,                 0.25
         7.25124e-05,                0.255
         7.88709e-05,                 0.26
         8.57869e-05,                0.265
         9.33111e-05,                 0.27
         0.000101499,                0.275
         0.000110412,                 0.28
         0.000120117,                0.285
         0.000130687,                 0.29
         0.000142204,                0.295
         0.000154756,                  0.3
         0.000168441,                0.305
         0.000183367,                 0.31
         0.000199652,                0.315
         0.000217428,                 0.32
         0.000236838,                0.325
         0.000258042,                 0.33
         0.000281215,                0.335
         0.000306551,                 0.34
         0.000334267,                0.345
           0.0003646,                 0.35
         0.000397813,                0.355
         0.000434199,                 0.36
         0.000474084,                0.365
         0.000517826,                 0.37
         0.000565828,                0.375
         0.000618535,                 0.38
         0.000676444,                0.385
         0.000740109,                 0.39
         0.000810148,                0.395
         0.000887251,                  0.4
         0.000972192,                0.405
          0.00106583,                 0.41
          0.00116915,                0.415
          0.00128322,                 0.42
          0.00140926,                0.425
          0.00154867,                 0.43
          0.00170297,                0.435
          0.00187392,                 0.44
          0.00206348,                0.445
          0.00227389,                 0.45
          0.00250766,                0.455
          0.00276766,                 0.46
          0.00305713,                0.465
          0.00337977,                 0.47
           0.0037398,                0.475
          0.00414202,                 0.48
          0.00459191,                0.485
          0.00509578,                 0.49
          0.00566084,                0.495
          0.00629539,                  0.5
          0.00700898,                0.505
          0.00781264,                 0.51
          0.00871912,                0.515
          0.00974321,                 0.52
            0.010902,                0.525
           0.0122156,                 0.53
           0.0137071,                0.535
           0.0154039,                 0.54
           0.0173378,                0.545
           0.0195463,                 0.55
           0.0220734,                0.555
           0.0249711,                 0.56
            0.028301,                0.565
           0.0321357,                 0.57
           0.0365618,                0.575
           0.0416819,                 0.58
           0.0476183,                0.585
           0.0545167,                 0.59
           0.0625508,                0.595
           0.0719275,                  0.6
            0.082893,                0.605
           0.0957392,                 0.61
            0.110811,                0.615
            0.128512,                 0.62
            0.149309,                0.625
            0.173736,                 0.63
            0.202383,                0.635
            0.235885,                 0.64
            0.274879,                0.645
            0.319945,                 0.65
            0.371509,                0.655
            0.429697,                 0.66
            0.494169,                0.665
            0.563923,                 0.67
            0.637152,                0.675
            0.711203,                 0.68
            0.782739,                0.685
            0.848117,                 0.69
            0.903953,                0.695
              0.9477,                  0.7

