------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         3.85768e-17,                0.005
          6.2124e-17,               0.0075
         8.89409e-17,                 0.01
         1.19392e-16,               0.0125
         1.53881e-16,                0.015
         1.92851e-16,               0.0175
         2.36791e-16,                 0.02
         2.86242e-16,               0.0225
         3.41799e-16,                0.025
         4.04116e-16,               0.0275
         4.73917e-16,                 0.03
         5.51997e-16,               0.0325
         6.39232e-16,                0.035
         7.36588e-16,               0.0375
         8.45128e-16,                 0.04
         9.66022e-16,               0.0425
         1.10056e-15,                0.045
         1.25015e-15,               0.0475
         1.41637e-15,                 0.05
         1.60093e-15,               0.0525
         1.80572e-15,                0.055
         2.03282e-15,               0.0575
         2.28451e-15,                 0.06
         2.56334e-15,               0.0625
         2.87205e-15,                0.065
         3.21371e-15,               0.0675
         3.59167e-15,                 0.07
         4.00962e-15,               0.0725
         4.47164e-15,                0.075
         4.98218e-15,               0.0775
         5.54618e-15,                 0.08
         6.16905e-15,               0.0825
         6.85673e-15,                0.085
          7.6158e-15,               0.0875
         8.45347e-15,                 0.09
         9.37766e-15,               0.0925
         1.03971e-14,                0.095
         1.15215e-14,               0.0975
         1.27613e-14,                  0.1
         1.56352e-14,                0.105
         1.91268e-14,                 0.11
         2.33671e-14,                0.115
          2.8515e-14,                 0.12
          3.4763e-14,                0.125
          4.2345e-14,                 0.13
         5.15449e-14,                0.135
         6.27076e-14,                 0.14
         7.62522e-14,                0.145
         9.26884e-14,                 0.15
         1.12636e-13,                0.155
         1.36852e-13,                 0.16
         1.66254e-13,                0.165
         2.01965e-13,                 0.17
         2.45353e-13,                0.175
          2.9809e-13,                 0.18
         3.62216e-13,                0.185
          4.4023e-13,                 0.19
         5.35186e-13,                0.195
         6.50829e-13,                  0.2
         7.91749e-13,                0.205
         9.63577e-13,                 0.21
         1.17324e-12,                0.215
         1.42923e-12,                 0.22
         1.74204e-12,                0.225
         2.12456e-12,                 0.23
          2.3468e-12,               0.2325
         2.59272e-12,                0.235
         2.86488e-12,               0.2375
         3.16617e-12,                 0.24
         3.49977e-12,               0.2425
         3.86922e-12,                0.245
         4.27849e-12,               0.2475
         4.73196e-12,                 0.25
         5.23454e-12,               0.2525
         5.79167e-12,                0.255
         6.40944e-12,               0.2575
         7.09463e-12,                 0.26
         7.85479e-12,               0.2625
         8.69834e-12,                0.265
         9.63468e-12,               0.2675
         1.06743e-11,                 0.27
          1.1829e-11,               0.2725
         1.31117e-11,                0.275
         1.45372e-11,               0.2775
         1.61218e-11,                 0.28
         1.78837e-11,               0.2825
         1.98434e-11,                0.285
         2.20238e-11,               0.2875
         2.44505e-11,                 0.29
         2.71522e-11,               0.2925
         3.01611e-11,                0.295
         3.35132e-11,               0.2975
         3.72489e-11,                  0.3
         4.14134e-11,               0.3025
         4.60578e-11,                0.305
          5.1239e-11,               0.3075
         5.70213e-11,                 0.31
         6.34768e-11,               0.3125
         7.06864e-11,                0.315
         7.87413e-11,               0.3175
         8.77442e-11,                 0.32
         9.78104e-11,               0.3225
          1.0907e-10,                0.325
          1.2167e-10,               0.3275
         1.35775e-10,                 0.33
         1.51572e-10,               0.3325
         1.69271e-10,                0.335
          1.8911e-10,               0.3375
         2.11357e-10,                 0.34
         2.36316e-10,               0.3425
          2.6433e-10,                0.345
         2.95787e-10,               0.3475
         3.31127e-10,                 0.35
         3.70849e-10,               0.3525
         4.15516e-10,                0.355
         4.65771e-10,               0.3575
         5.22339e-10,                 0.36
         5.86046e-10,               0.3625
         6.57832e-10,                0.365
         7.38762e-10,               0.3675
         8.30051e-10,                 0.37
          9.3308e-10,               0.3725
         1.04942e-09,                0.375
         1.18088e-09,               0.3775
         1.32949e-09,                 0.38
          1.4976e-09,               0.3825
         1.68787e-09,                0.385
         1.90337e-09,               0.3875
         2.14758e-09,                 0.39
          2.4245e-09,               0.3925
         2.73873e-09,                0.395
         3.09551e-09,               0.3975
         3.50088e-09,                  0.4
         3.96177e-09,               0.4025
         4.48614e-09,                0.405
         5.08318e-09,               0.4075
         5.76341e-09,                 0.41
         6.53903e-09,               0.4125
         7.42406e-09,                0.415
          8.4347e-09,               0.4175
         9.58969e-09,                 0.42
         1.09107e-08,               0.4225
         1.24228e-08,                0.425
         1.41551e-08,               0.4275
         1.61413e-08,                 0.43
         1.84207e-08,               0.4325
         2.10388e-08,                0.435
         2.40487e-08,               0.4375
         2.75122e-08,                 0.44
         3.15015e-08,               0.4425
         3.61008e-08,                0.445
         4.14086e-08,               0.4475
         4.75405e-08,                 0.45
         5.46316e-08,               0.4525
         6.28409e-08,                0.455
         7.23549e-08,               0.4575
         8.33934e-08,                 0.46
         9.62156e-08,               0.4625
         1.11127e-07,                0.465
         1.28489e-07,               0.4675
         1.48731e-07,                 0.47
         1.72358e-07,               0.4725
         1.99975e-07,                0.475
         2.32298e-07,               0.4775
         2.70182e-07,                 0.48
         3.14648e-07,               0.4825
         3.66915e-07,                0.485
         4.28447e-07,               0.4875
         5.00998e-07,                 0.49
         5.86682e-07,               0.4925
         6.88043e-07,                0.495
         8.08159e-07,               0.4975
         9.50752e-07,                  0.5
         1.12034e-06,               0.5025
         1.32243e-06,                0.505
         1.56371e-06,               0.5075
         1.85239e-06,                 0.51
          2.1985e-06,               0.5125
         2.61441e-06,                0.515
         3.11533e-06,               0.5175
          3.7201e-06,                 0.52
         4.45206e-06,               0.5225
         5.34029e-06,                0.525
         6.42109e-06,               0.5275
         7.73996e-06,                 0.53
         9.35415e-06,               0.5325
         1.02939e-05,              0.53375
          1.1336e-05,                0.535
         1.24926e-05,              0.53625
         1.37773e-05,               0.5375
         1.52055e-05,              0.53875
