------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         5.30899e-05,                0.005
         0.000108809,                 0.01
         0.000167267,                0.015
         0.000228576,                 0.02
         0.000292854,                0.025
         0.000360225,                 0.03
         0.000430815,                0.035
         0.000504757,                 0.04
         0.000582191,                0.045
         0.000663259,                 0.05
         0.000748113,                0.055
         0.000836908,                 0.06
         0.000929807,                0.065
          0.00102698,                 0.07
           0.0011286,                0.075
          0.00123486,                 0.08
          0.00134594,                0.085
          0.00146204,                 0.09
          0.00158338,                0.095
          0.00171016,                  0.1
          0.00184262,                0.105
          0.00198099,                 0.11
          0.00212551,                0.115
          0.00227645,                 0.12
          0.00243405,                0.125
          0.00259861,                 0.13
          0.00277041,                0.135
          0.00294975,                 0.14
          0.00313694,                0.145
          0.00333232,                 0.15
          0.00353622,                0.155
            0.003749,                 0.16
          0.00397103,                0.165
           0.0042027,                 0.17
          0.00444441,                0.175
          0.00469658,                 0.18
          0.00495965,                0.185
          0.00523408,                 0.19
          0.00552034,                0.195
          0.00581894,                  0.2
          0.00613039,                0.205
          0.00645523,                 0.21
          0.00679404,                0.215
          0.00714739,                 0.22
          0.00751592,                0.225
          0.00790025,                 0.23
          0.00830107,                0.235
          0.00871906,                 0.24
          0.00915498,                0.245
          0.00960956,                 0.25
           0.0100836,                0.255
            0.010578,                 0.26
           0.0110935,                0.265
           0.0116311,                 0.27
           0.0121918,                0.275
           0.0127764,                 0.28
           0.0133862,                0.285
            0.014022,                 0.29
           0.0146851,                0.295
           0.0153766,                  0.3
           0.0160977,                0.305
           0.0168498,                 0.31
           0.0176342,                0.315
           0.0184522,                 0.32
           0.0193053,                0.325
           0.0201951,                 0.33
           0.0211231,                0.335
           0.0220911,                 0.34
           0.0231006,                0.345
           0.0241536,                 0.35
            0.025252,                0.355
           0.0263976,                 0.36
           0.0275926,                0.365
           0.0288391,                 0.37
           0.0301394,                0.375
           0.0314957,                 0.38
           0.0329106,                0.385
           0.0343865,                 0.39
           0.0359262,                0.395
           0.0375324,                  0.4
           0.0392079,                0.405
           0.0409559,                 0.41
           0.0427793,                0.415
           0.0446816,                 0.42
            0.046666,                0.425
           0.0487361,                 0.43
           0.0508957,                0.435
           0.0531484,                 0.44
           0.0554984,                0.445
           0.0579497,                 0.45
           0.0605067,                0.455
           0.0631738,                 0.46
           0.0659556,                0.465
           0.0688569,                 0.47
           0.0718828,                0.475
           0.0750383,                 0.48
           0.0783288,                0.485
           0.0817597,                 0.49
           0.0853369,                0.495
           0.0890661,                  0.5
           0.0929533,                0.505
           0.0970049,                 0.51
            0.101227,                0.515
            0.105627,                 0.52
             0.11021,                0.525
            0.114985,                 0.53
            0.119957,                0.535
            0.125134,                 0.54
            0.130524,                0.545
            0.136133,                 0.55
             0.14197,                0.555
            0.148041,                 0.56
            0.154355,                0.565
            0.160919,                 0.57
             0.16774,                0.575
            0.174826,                 0.58
            0.182185,                0.585
            0.189823,                 0.59
            0.197748,                0.595
            0.205968,                  0.6
            0.214487,                0.605
            0.223314,                 0.61
            0.232452,                0.615
            0.241909,                 0.62
            0.251689,                0.625
            0.261795,                 0.63
            0.272233,                0.635
            0.283003,                 0.64
            0.294108,                0.645
             0.30555,                 0.65
            0.317327,                0.655
            0.329438,                 0.66
            0.341881,                0.665
            0.354653,                 0.67
            0.367746,                0.675
            0.381156,                 0.68
            0.394872,                0.685
            0.408886,                 0.69
            0.423186,                0.695
            0.437758,                  0.7

