------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.42929e-35,                0.005
         1.93559e-35,              0.00625
         2.51661e-35,               0.0075
          3.1814e-35,              0.00875
         3.94005e-35,                 0.01
         4.80376e-35,              0.01125
         5.78499e-35,               0.0125
         6.89755e-35,              0.01375
          8.1568e-35,                0.015
         9.57976e-35,              0.01625
         1.11853e-34,               0.0175
         1.29944e-34,              0.01875
         1.50304e-34,                 0.02
         1.73188e-34,              0.02125
         1.98883e-34,               0.0225
         2.27705e-34,              0.02375
         2.60004e-34,                0.025
         2.96168e-34,              0.02625
         3.36626e-34,               0.0275
         3.81854e-34,              0.02875
         4.32376e-34,                 0.03
         4.88776e-34,              0.03125
         5.51697e-34,               0.0325
         6.21851e-34,              0.03375
         7.00027e-34,                0.035
         7.87094e-34,              0.03625
         8.84017e-34,               0.0375
         9.91859e-34,              0.03875
          1.1118e-33,                 0.04
         1.24514e-33,              0.04125
         1.39331e-33,               0.0425
         1.55791e-33,              0.04375
         1.74069e-33,                0.045
         1.94359e-33,              0.04625
         2.16875e-33,               0.0475
         2.41854e-33,              0.04875
         2.69557e-33,                 0.05
         3.00274e-33,              0.05125
         3.34323e-33,               0.0525
         3.72055e-33,              0.05375
         4.13862e-33,                0.055
          4.6017e-33,              0.05625
         5.11456e-33,               0.0575
         5.68242e-33,              0.05875
         6.31106e-33,                 0.06
         7.00687e-33,              0.06125
         7.77689e-33,               0.0625
         8.62891e-33,              0.06375
         9.57149e-33,                0.065
         1.06141e-32,              0.06625
         1.17673e-32,               0.0675
         1.30425e-32,              0.06875
         1.44526e-32,                 0.07
         1.60115e-32,              0.07125
         1.77349e-32,               0.0725
         1.96398e-32,              0.07375
         2.17452e-32,                0.075
          2.4072e-32,              0.07625
         2.66433e-32,               0.0775
         3.26236e-32,                 0.08
         3.99231e-32,               0.0825
         4.88308e-32,                0.085
         5.96984e-32,               0.0875
         7.29548e-32,                 0.09
         8.91228e-32,               0.0925
         1.08839e-31,                0.095
         1.32881e-31,               0.0975
         1.62195e-31,                  0.1
         1.97935e-31,               0.1025
         2.41511e-31,                0.105
         2.94639e-31,               0.1075
         3.59415e-31,                 0.11
         4.38397e-31,               0.1125
         5.34705e-31,                0.115
         6.52152e-31,               0.1175
          7.9539e-31,                 0.12
         9.70102e-31,               0.1225
         1.18324e-30,                0.125
         1.44327e-30,               0.1275
         1.76059e-30,                 0.13
         2.14788e-30,               0.1325
         2.62065e-30,                0.135
          3.1979e-30,               0.1375
         3.90285e-30,                 0.14
         4.76396e-30,               0.1425
         5.81608e-30,                0.145
          7.1019e-30,               0.1475
         8.67374e-30,                 0.15
         1.05958e-29,               0.1525
         1.29467e-29,                0.155
         1.43123e-29,              0.15625
          1.5823e-29,               0.1575
         1.74942e-29,              0.15875
         1.93432e-29,                 0.16
         2.13891e-29,              0.16125
          2.3653e-29,               0.1625
         2.61583e-29,              0.16375
          2.8931e-29,                0.165
         3.19999e-29,              0.16625
          3.5397e-29,               0.1675
         3.91577e-29,              0.16875
         4.33212e-29,                 0.17
         4.79312e-29,              0.17125
         5.30359e-29,               0.1725
          5.8689e-29,              0.17375
           6.495e-29,                0.175
         7.18849e-29,              0.17625
          7.9567e-29,               0.1775
         8.80777e-29,              0.17875
         9.75071e-29,                 0.18
         1.07956e-28,              0.18125
         1.19534e-28,               0.1825
         1.32367e-28,              0.18375
         1.46591e-28,                0.185
         1.62359e-28,              0.18625
         1.79839e-28,               0.1875
         1.99221e-28,              0.18875
         2.20713e-28,                 0.19
         2.44548e-28,              0.19125
         2.70983e-28,               0.1925
         3.00307e-28,              0.19375
         3.32837e-28,                0.195
          3.6893e-28,              0.19625
         4.08978e-28,               0.1975
         4.53422e-28,              0.19875
         5.02749e-28,                  0.2
         5.57503e-28,              0.20125
         6.18287e-28,               0.2025
         6.85773e-28,              0.20375
         7.60711e-28,                0.205
         8.43932e-28,              0.20625
         9.36363e-28,               0.2075
         1.03904e-27,              0.20875
          1.1531e-27,                 0.21
         1.27984e-27,              0.21125
         1.42068e-27,               0.2125
          1.5772e-27,              0.21375
         1.75117e-27,                0.215
         1.94458e-27,              0.21625
          2.1596e-27,               0.2175
         2.39871e-27,              0.21875
         2.66461e-27,                 0.22
         2.96037e-27,              0.22125
         3.28937e-27,               0.2225
         3.65541e-27,              0.22375
          4.0627e-27,                0.225
         4.51596e-27,              0.22625
         5.02045e-27,               0.2275
         5.58204e-27,              0.22875
         6.20729e-27,                 0.23
         6.90349e-27,              0.23125
         7.67883e-27,               0.2325
         8.54242e-27,              0.23375
         9.50445e-27,                0.235
         1.05763e-26,              0.23625
         1.17707e-26,               0.2375
         1.31018e-26,              0.23875
         1.45855e-26,                 0.24
         1.62397e-26,              0.24125
          1.8084e-26,               0.2425
         2.01407e-26,              0.24375
         2.24347e-26,                0.245
         2.49936e-26,              0.24625
         2.78487e-26,               0.2475
         3.10345e-26,              0.24875
         3.45901e-26,                 0.25
         3.85589e-26,              0.25125
         4.29898e-26,               0.2525
         4.79373e-26,              0.25375
         5.34625e-26,                0.255
         5.96341e-26,              0.25625
         6.65287e-26,               0.2575
         7.42324e-26,              0.25875
         8.28415e-26,                 0.26
         9.24641e-26,              0.26125
         1.03221e-25,               0.2625
         1.15249e-25,              0.26375
           1.287e-25,                0.265
         1.43745e-25,              0.26625
         1.60576e-25,               0.2675
         1.79409e-25,              0.26875
         2.00484e-25,                 0.27
         2.24074e-25,              0.27125
         2.50483e-25,               0.2725
         2.80054e-25,              0.27375
         3.13172e-25,                0.275
         3.50268e-25,              0.27625
         3.91829e-25,               0.2775
         4.38401e-25,              0.27875
         4.90597e-25,                 0.28
         5.49109e-25,              0.28125
         6.14713e-25,               0.2825
         6.88283e-25,              0.28375
         7.70803e-25,                0.285
          8.6338e-25,              0.28625
         9.67259e-25,               0.2875
         1.08385e-24,              0.28875
         1.21472e-24,                 0.29
         1.36166e-24,              0.29125
         1.52667e-24,               0.2925
         1.71202e-24,              0.29375
         1.92026e-24,                0.295
         2.15426e-24,              0.29625
         2.41725e-24,               0.2975
         2.71291e-24,              0.29875
         3.04535e-24,                  0.3
         3.41923e-24,              0.30125
         3.83982e-24,               0.3025
         4.31304e-24,              0.30375
          4.8456e-24,                0.305
         5.44508e-24,              0.30625
         6.12004e-24,               0.3075
         6.88014e-24,              0.30875
         7.73632e-24,                 0.31
         8.70096e-24,              0.31125
         9.78803e-24,               0.3125
         1.10134e-23,              0.31375
         1.23949e-23,                0.315
         1.39528e-23,              0.31625
         1.57101e-23,               0.3175
         1.76928e-23,              0.31875
         1.99304e-23,                 0.32
         2.24561e-23,              0.32125
         2.53078e-23,               0.3225
         2.85283e-23,              0.32375
         3.21663e-23,                0.325
          3.6277e-23,              0.32625
         4.09228e-23,               0.3275
         4.61747e-23,              0.32875
         5.21135e-23,                 0.33
         5.88305e-23,              0.33125
         6.64299e-23,               0.3325
         7.50297e-23,              0.33375
         8.47641e-23,                0.335
         9.57858e-23,              0.33625
         1.08268e-22,               0.3375
         1.22409e-22,              0.33875
         1.38433e-22,                 0.34
         1.56595e-22,              0.34125
         1.77188e-22,               0.3425
         2.00541e-22,              0.34375
         2.27033e-22,                0.345
         2.57095e-22,              0.34625
         2.91216e-22,               0.3475
         3.29956e-22,              0.34875
         3.73954e-22,                 0.35
         4.23937e-22,              0.35125
         4.80736e-22,               0.3525
         5.45299e-22,              0.35375
         6.18709e-22,                0.355
         7.02206e-22,              0.35625
         7.97201e-22,               0.3575
         9.05313e-22,              0.35875
         1.02839e-21,                 0.36
         1.16855e-21,              0.36125
          1.3282e-21,               0.3625
         1.51013e-21,              0.36375
          1.7175e-21,                0.365
         1.95395e-21,              0.36625
         2.22364e-21,               0.3675
         2.53135e-21,              0.36875
         2.88254e-21,                 0.37
          3.2835e-21,              0.37125
         3.74144e-21,               0.3725
         4.26462e-21,              0.37375
         4.86255e-21,                0.375
         5.54614e-21,              0.37625
         6.32793e-21,               0.3775
         7.22233e-21,              0.37875
         8.24594e-21,                 0.38
         9.41783e-21,              0.38125
           1.076e-20,               0.3825
         1.22976e-20,              0.38375
           1.406e-20,                0.385
         1.60805e-20,              0.38625
          1.8398e-20,               0.3875
          2.1057e-20,              0.38875
         2.41091e-20,                 0.39
         2.76137e-20,              0.39125
         3.16393e-20,               0.3925
         3.62654e-20,              0.39375
         4.15834e-20,                0.395
         4.76995e-20,              0.39625
          5.4736e-20,               0.3975
         6.28349e-20,              0.39875
         7.21602e-20,                  0.4
         8.29021e-20,              0.40125
          9.5281e-20,               0.4025
         1.09552e-19,              0.40375
         1.26012e-19,                0.405
         1.45005e-19,              0.40625
         1.66928e-19,               0.4075
         1.92247e-19,              0.40875
           2.215e-19,                 0.41
         2.55312e-19,              0.41125
         2.94412e-19,               0.4125
         3.39647e-19,              0.41375
         3.92005e-19,                0.415
         4.52634e-19,              0.41625
         5.22875e-19,               0.4175
         6.04288e-19,              0.41875
         6.98697e-19,                 0.42
         8.08229e-19,              0.42125
         9.35368e-19,               0.4225
         1.08302e-18,              0.42375
         1.25457e-18,                0.425
           1.454e-18,              0.42625
         1.68594e-18,               0.4275
         1.95585e-18,              0.42875
          2.2701e-18,                 0.43
         2.63617e-18,              0.43125
         3.06282e-18,               0.4325
         3.56035e-18,              0.43375
         4.14085e-18,                0.435
         4.81853e-18,              0.43625
         5.61009e-18,               0.4375
         6.53521e-18,              0.43875
         7.61701e-18,                 0.44
         8.88277e-18,              0.44125
         1.03646e-17,               0.4425
         1.21005e-17,              0.44375
         1.41351e-17,                0.445
         1.65214e-17,              0.44625
         1.93218e-17,               0.4475
         2.26102e-17,              0.44875
         2.64741e-17,                 0.45
          3.1017e-17,              0.45125
         3.63617e-17,               0.4525
         4.26538e-17,              0.45375
         5.00661e-17,                0.455
         5.88039e-17,              0.45625
         6.91111e-17,               0.4575
         8.12779e-17,              0.45875
         9.56497e-17,                 0.46
         1.12638e-16,              0.46125
         1.32734e-16,               0.4625
         1.56523e-16,              0.46375
         1.84703e-16,                0.465
         2.18111e-16,              0.46625
         2.57746e-16,               0.4675
         3.04804e-16,              0.46875
         3.60719e-16,                 0.47
          4.2721e-16,              0.47125
         5.06339e-16,               0.4725
         6.00585e-16,              0.47375
         7.12929e-16,                0.475
         8.46954e-16,              0.47625
         1.00698e-15,               0.4775
         1.19822e-15,              0.47875
         1.42695e-15,                 0.48
         1.70077e-15,              0.48125
         2.02886e-15,               0.4825
         2.42233e-15,              0.48375
         2.89465e-15,                0.485
         3.46214e-15,              0.48625
         4.14464e-15,               0.4875
         4.96625e-15,              0.48875
         5.95629e-15,                 0.49
         7.15049e-15,              0.49125
         8.59241e-15,               0.4925
         1.03352e-14,              0.49375
          1.2444e-14,                0.495
         1.49983e-14,              0.49625
         1.80955e-14,               0.4975
         2.18554e-14,              0.49875
         2.64247e-14,                  0.5
         3.19841e-14,              0.50125
         3.87562e-14,               0.5025
         4.70153e-14,              0.50375
         5.71002e-14,                0.505
         6.94297e-14,              0.50625
         7.65938e-14,             0.506875
         8.45226e-14,               0.5075
         9.33005e-14,             0.508125
         1.03022e-13,              0.50875
         1.13791e-13,             0.509375
         1.25726e-13,                 0.51
         1.38957e-13,             0.510625
         1.53629e-13,              0.51125
         1.69905e-13,             0.511875
         1.87967e-13,               0.5125
         2.08018e-13,             0.513125
         2.30285e-13,              0.51375
          2.5502e-13,             0.514375
         2.82509e-13,                0.515
         3.13069e-13,             0.515625
         3.47055e-13,              0.51625
         3.84865e-13,             0.516875
         4.26947e-13,               0.5175
           4.738e-13,             0.518125
         5.25985e-13,              0.51875
         5.84133e-13,             0.519375
         6.48949e-13,                 0.52
         7.21228e-13,             0.520625
         8.01862e-13,              0.52125
         8.91852e-13,             0.521875
         9.92327e-13,               0.5225
         1.10455e-12,             0.523125
         1.22996e-12,              0.52375
         1.37016e-12,             0.524375
         1.52696e-12,                0.525
          1.7024e-12,             0.525625
         1.89878e-12,              0.52625
         2.11872e-12,             0.526875
         2.36514e-12,               0.5275
         2.64136e-12,             0.528125
         2.95112e-12,              0.52875
         3.29867e-12,             0.529375
         3.68881e-12,                 0.53
         4.12696e-12,             0.530625
         4.61927e-12,              0.53125
         5.17271e-12,             0.531875
          5.7952e-12,               0.5325
          6.4957e-12,             0.533125
         7.28439e-12,              0.53375
         8.17285e-12,             0.534375
         9.17423e-12,                0.535
         1.03035e-11,             0.535625
         1.15777e-11,              0.53625
         1.30162e-11,             0.536875
         1.46411e-11,               0.5375
         1.64776e-11,             0.538125
         1.85545e-11,              0.53875
         2.09046e-11,             0.539375
         2.35655e-11,                 0.54
           2.658e-11,             0.540625
         2.99974e-11,              0.54125
         3.38737e-11,             0.541875
         3.82736e-11,               0.5425
         4.32709e-11,             0.543125
         4.89503e-11,              0.54375
         5.54095e-11,             0.544375
         6.27603e-11,                0.545
         7.11316e-11,             0.545625
         8.06717e-11,              0.54625
         9.15515e-11,             0.546875
         1.03968e-10,               0.5475
         1.18149e-10,             0.548125
         1.34357e-10,              0.54875
         1.52897e-10,             0.549375
         1.74119e-10,                 0.55
         1.98431e-10,             0.550625
         2.26305e-10,              0.55125
         2.58289e-10,             0.551875
         2.95021e-10,               0.5525
         3.37239e-10,             0.553125
         3.85807e-10,              0.55375
         4.41727e-10,             0.554375
         5.06172e-10,                0.555
         5.80507e-10,             0.555625
         6.66332e-10,              0.55625
         7.65516e-10,             0.556875
         8.80251e-10,               0.5575
         1.01311e-09,             0.558125
          1.1671e-09,              0.55875
         1.34578e-09,             0.559375
         1.55333e-09,                 0.56
         1.79466e-09,             0.560625
         2.07559e-09,              0.56125
         2.40298e-09,             0.561875
         2.78497e-09,               0.5625
         3.23119e-09,             0.563125
         3.75306e-09,              0.56375
         4.36418e-09,             0.564375
         5.08071e-09,                0.565
         5.92194e-09,             0.565625
          6.9109e-09,              0.56625
         8.07512e-09,             0.566875
         9.44761e-09,               0.5675
          1.1068e-08,             0.568125
         1.29838e-08,              0.56875
         1.52524e-08,             0.569375
         1.79431e-08,                 0.57
         2.11396e-08,             0.570625
         2.49431e-08,              0.57125
         2.94769e-08,             0.571875
         3.48908e-08,               0.5725
         4.13673e-08,             0.573125
         4.91297e-08,              0.57375
         5.84515e-08,             0.574375
         6.96685e-08,                0.575
         8.31943e-08,             0.575625
         9.95393e-08,              0.57625
         1.19336e-07,             0.576875
         1.43367e-07,               0.5775
         1.72611e-07,             0.578125
         2.08287e-07,              0.57875
         2.51923e-07,             0.579375
         2.77308e-07,             0.579688
          3.0544e-07,                 0.58
         3.36638e-07,             0.580313
         3.71262e-07,             0.580625
         4.09716e-07,             0.580938
         4.52456e-07,              0.58125
         4.99998e-07,             0.581562
         5.52924e-07,             0.581875
          6.1189e-07,             0.582188
         6.77641e-07,               0.5825
         7.51021e-07,             0.582812
         8.32986e-07,             0.583125
         9.24624e-07,             0.583438
         1.02717e-06,              0.58375
         1.14203e-06,             0.584062
         1.27081e-06,             0.584375
         1.41533e-06,             0.584688
          1.5777e-06,                0.585
          1.7603e-06,             0.585312
         1.96587e-06,             0.585625
         2.19758e-06,             0.585938
         2.45902e-06,              0.58625
         2.75437e-06,             0.586562
         3.08844e-06,             0.586875
         3.46676e-06,             0.587187
         3.89575e-06,               0.5875
         4.38286e-06,             0.587812
          4.9367e-06,             0.588125
         5.56733e-06,             0.588437
         6.28643e-06,              0.58875
         7.10768e-06,             0.589062
         8.04706e-06,             0.589375
         9.12333e-06,             0.589687
         1.03585e-05,                 0.59
         1.17786e-05,             0.590313
         1.34143e-05,             0.590625
         1.53018e-05,             0.590938
         1.74844e-05,              0.59125
         2.00133e-05,             0.591562
         2.29499e-05,             0.591875
         2.63677e-05,             0.592188
          3.0355e-05,               0.5925
         3.50181e-05,             0.592812
          4.0486e-05,             0.593125
         4.69152e-05,             0.593438
         5.44967e-05,              0.59375
         6.34641e-05,             0.594062
         7.41055e-05,             0.594375
         8.67763e-05,             0.594688
         0.000101919,                0.595
         0.000120085,             0.595312
         0.000141969,             0.595625
         0.000168448,             0.595938
          0.00020064,              0.59625
         0.000239976,             0.596562
         0.000262882,             0.596719
         0.000288307,             0.596875
         0.000316573,             0.597031
         0.000348046,             0.597187
         0.000383148,             0.597344
         0.000422365,               0.5975
         0.000466258,             0.597656
         0.000515479,             0.597812
         0.000570784,             0.597969
         0.000633054,             0.598125
         0.000703321,             0.598281
         0.000782795,             0.598437
         0.000872902,             0.598594
         0.000975327,              0.59875
          0.00109207,             0.598906
          0.00122552,             0.599062
          0.00137855,             0.599219
          0.00155458,             0.599375
          0.00175779,             0.599531
          0.00199325,             0.599687
          0.00226718,             0.599844
          0.00258723,                  0.6
          0.00296291,             0.600156
          0.00340608,             0.600313
          0.00393174,             0.600469
          0.00455892,             0.600625
          0.00531208,             0.600781
          0.00622295,             0.600938
           0.0073332,             0.601094
          0.00797971,             0.601172
          0.00869817,              0.60125
          0.00949855,             0.601328
           0.0103925,             0.601406
           0.0113937,             0.601484
           0.0125184,             0.601562
           0.0137856,             0.601641
           0.0152181,             0.601719
           0.0168432,             0.601797
           0.0186937,             0.601875
           0.0208093,             0.601953
           0.0232384,             0.602031
           0.0260402,             0.602109
            0.029288,             0.602188
           0.0330728,             0.602266
           0.0375086,             0.602344
           0.0427397,             0.602422
           0.0489498,               0.6025
           0.0563755,             0.602578
           0.0653236,             0.602656
           0.0761971,             0.602734
           0.0895287,             0.602812
           0.0973303,             0.602852
            0.106031,             0.602891
            0.115758,              0.60293
            0.126662,             0.602969
            0.138916,             0.603008
            0.152721,             0.603047
            0.168313,             0.603086
            0.185965,             0.603125
            0.205991,             0.603164
            0.228753,             0.603203
            0.254661,             0.603242
            0.284169,             0.603281
            0.317774,              0.60332
            0.355988,             0.603359
            0.399309,             0.603398
             0.44815,             0.603438
            0.502747,             0.603477
            0.563004,             0.603516
            0.628305,             0.603555
            0.697276,             0.603594
            0.767579,             0.603633
              0.8358,             0.603672
            0.897587,             0.603711
            0.948127,              0.60375
            0.982982,             0.603789
            0.999052,             0.603828
            0.995336,             0.603867
            0.973123,             0.603906
             0.93557,             0.603945
            0.886863,             0.603984
             0.83133,             0.604023
            0.772783,             0.604062
            0.657647,             0.604141
            0.555197,             0.604219
            0.469469,             0.604297
            0.399698,             0.604375
             0.34346,             0.604453
             0.29813,             0.604531
            0.261406,             0.604609
            0.231428,             0.604688
            0.206746,             0.604766
            0.186243,             0.604844
            0.169064,             0.604922
            0.154551,                0.605
            0.142194,             0.605078
            0.131597,             0.605156
            0.122449,             0.605234
            0.114504,             0.605312
            0.107566,             0.605391
            0.101476,             0.605469
           0.0913506,             0.605625
           0.0833571,             0.605781
           0.0769666,             0.605938
           0.0718086,             0.606094
           0.0676174,              0.60625
           0.0641989,             0.606406
           0.0614087,             0.606562
           0.0591383,             0.606719
           0.0573048,             0.606875
            0.054708,             0.607187
           0.0532623,               0.6075
            0.052754,             0.607812
           0.0530605,             0.608125
           0.0541214,             0.608437
           0.0559238,              0.60875
           0.0584951,             0.609062
           0.0619005,             0.609375
           0.0662459,             0.609687
           0.0716837,                 0.61
           0.0784233,             0.610313
           0.0867475,             0.610625
           0.0970352,             0.610938
            0.109795,              0.61125
            0.125712,             0.611563
            0.135132,             0.611719
            0.145712,             0.611875
            0.157621,             0.612031
            0.171055,             0.612188
            0.186243,             0.612344
            0.203449,               0.6125
            0.222981,             0.612656
            0.245191,             0.612812
            0.270478,             0.612969
            0.299288,             0.613125
            0.332105,             0.613281
            0.369431,             0.613438
            0.411755,             0.613594
            0.459486,              0.61375
            0.512859,             0.613906
             0.57179,             0.614062
            0.635681,             0.614219
              0.7032,             0.614375
            0.772062,             0.614531
            0.838924,             0.614688
            0.899512,             0.614844
            0.949094,                0.615
            0.983298,             0.615156
             0.99907,             0.615312
            0.995424,             0.615469
             0.97364,             0.615625
            0.936839,             0.615781
            0.889152,             0.615938
            0.834845,             0.616094
            0.777667,              0.61625
            0.665467,             0.616562
            0.565957,             0.616875
            0.483001,             0.617188
            0.415782,               0.6175
            0.361888,             0.617812
            0.318727,             0.618125
            0.284041,             0.618437
            0.256012,              0.61875
            0.233225,             0.619062
            0.214595,             0.619375
            0.199294,             0.619687
            0.186688,                 0.62
            0.176288,             0.620313
            0.167719,             0.620625
            0.160689,             0.620938
            0.154969,              0.62125
            0.146788,             0.621875
            0.142173,               0.6225
             0.14053,             0.623125
            0.141543,              0.62375
            0.145103,             0.624375
            0.151273,                0.625
            0.160279,             0.625625
            0.172521,              0.62625
            0.188598,             0.626875
            0.209353,               0.6275
            0.235935,             0.628125
            0.269872,              0.62875
            0.313133,             0.629375
            0.368132,                 0.63
            0.437539,             0.630625
            0.523628,              0.63125
            0.626725,             0.631875
             0.74234,               0.6325
            0.801225,             0.632812
            0.857642,             0.633125
            0.908532,             0.633438
            0.950634,              0.63375
            0.980959,             0.634062
            0.997328,             0.634375
              0.9988,             0.634688
            0.985845,                0.635
            0.960197,             0.635312
            0.924452,             0.635625
             0.88157,             0.635938
            0.834424,              0.63625
             0.73674,             0.636875
            0.644866,               0.6375
            0.564792,             0.638125
            0.497806,              0.63875
             0.44296,             0.639375
            0.398542,                 0.64
            0.362776,             0.640625
            0.334092,              0.64125
            0.311199,             0.641875
            0.293072,               0.6425
            0.278914,             0.643125
            0.268114,              0.64375
