# Length (nm)	T_avg
1.000000000000000000e+00	1.197953058687491017e-02
2.000000000000000000e+00	6.573810898086517127e-05
3.000000000000000000e+00	3.185876424088352196e-06
4.000000000000000000e+00	2.635533406175598675e-06
5.000000000000000000e+00	2.641191455030499789e-06
6.000000000000000000e+00	2.638792420149676304e-06
7.000000000000000000e+00	2.636682833183409291e-06
8.000000000000000000e+00	2.641777534122586721e-06
9.000000000000000000e+00	2.634730606290756986e-06
1.000000000000000000e+01	2.643137545448821031e-06
