# Length (nm)	T_avg
2.000000000000000000e+00	1.393163579574438786e-03
3.000000000000000000e+00	4.112477429235094018e-05
4.000000000000000000e+00	4.018061930992020723e-06
5.000000000000000000e+00	2.666030437024676348e-06
6.000000000000000000e+00	2.650068643967022060e-06
7.000000000000000000e+00	2.646591659197538373e-06
8.000000000000000000e+00	2.617817479463845551e-06
1.000000000000000000e+01	2.636743798685754854e-06
