# Length (nm)	T_avg
2.000000000000000000e+00	3.066136328719585202e-04
2.500000000000000000e+00	3.867582841512090991e-05
3.000000000000000000e+00	7.345457069917909522e-06
4.000000000000000000e+00	2.712689091382538513e-06
5.000000000000000000e+00	2.651619640612153504e-06
6.000000000000000000e+00	2.637177574136961517e-06
7.000000000000000000e+00	2.632835909513743422e-06
8.000000000000000000e+00	2.646191936300034887e-06
1.000000000000000000e+01	2.649438512782378011e-06
