# Length (nm)	T_avg
1.000000000000000000e+00	1.660228013279329284e-01
2.000000000000000000e+00	1.016332378779407318e-02
3.000000000000000000e+00	6.486049124139477802e-04
4.000000000000000000e+00	4.937610419536193619e-05
5.000000000000000000e+00	6.540498334641794734e-06
6.000000000000000000e+00	2.996475282177283506e-06
7.000000000000000000e+00	2.641634336424149925e-06
8.000000000000000000e+00	2.644809827708539922e-06
9.000000000000000000e+00	2.656871126269583484e-06
1.000000000000000000e+01	2.632588715871436643e-06
