# Length (nm)	T_avg
1.000000000000000000e+00	1.909035686772072443e-02
2.000000000000000000e+00	1.516673055233826043e-04
3.000000000000000000e+00	4.418065452750026216e-06
4.000000000000000000e+00	2.633970421736818144e-06
5.000000000000000000e+00	2.658085247348446449e-06
7.000000000000000000e+00	2.653328277826371325e-06
9.000000000000000000e+00	2.649279998848122929e-06
1.000000000000000000e+01	2.630220262084393546e-06
