# Length (nm)	T_avg
1.500000000000000000e+00	5.161422744869513220e-04
2.000000000000000000e+00	3.762068842709949515e-05
3.000000000000000000e+00	2.871829948323351841e-06
4.000000000000000000e+00	2.652273421071678933e-06
5.000000000000000000e+00	2.624827669686151474e-06
6.000000000000000000e+00	2.653126111358338151e-06
7.000000000000000000e+00	2.623015537064776899e-06
8.000000000000000000e+00	2.649129985659724744e-06
9.000000000000000000e+00	2.626309357870007565e-06
1.000000000000000000e+01	2.644191698550471658e-06
