------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.46377e-16,                0.005
         2.35066e-16,               0.0075
         3.35592e-16,                 0.01
         4.49225e-16,               0.0125
         5.77359e-16,                0.015
          7.2153e-16,               0.0175
         8.83421e-16,                 0.02
         1.06488e-15,               0.0225
         1.26795e-15,                0.025
         1.49485e-15,               0.0275
         1.74805e-15,                 0.03
         2.03022e-15,               0.0325
         2.34432e-15,                0.035
         2.69361e-15,               0.0375
         3.08162e-15,                 0.04
         3.51227e-15,               0.0425
         3.98984e-15,                0.045
         4.51903e-15,               0.0475
         5.10498e-15,                 0.05
         5.75337e-15,               0.0525
         6.47038e-15,                0.055
         7.26282e-15,               0.0575
         8.13816e-15,                 0.06
         9.10456e-15,               0.0625
          1.0171e-14,                0.065
         1.13473e-14,               0.0675
         1.26443e-14,                 0.07
         1.40738e-14,               0.0725
         1.56488e-14,                0.075
         1.73835e-14,               0.0775
         1.92936e-14,                 0.08
         2.37097e-14,                0.085
         2.90551e-14,                 0.09
         3.55194e-14,                0.095
         4.33312e-14,                  0.1
         5.27651e-14,                0.105
         6.41522e-14,                 0.11
         7.78907e-14,                0.115
         9.44606e-14,                 0.12
          1.1444e-13,                0.125
         1.38527e-13,                 0.13
          1.6756e-13,                0.135
         2.02556e-13,                 0.14
         2.44739e-13,                0.145
         2.95587e-13,                 0.15
         3.56889e-13,                0.155
         4.30807e-13,                 0.16
         5.19955e-13,                0.165
         6.27503e-13,                 0.17
         7.57288e-13,                0.175
         9.13963e-13,                 0.18
         1.10318e-12,                0.185
         1.33178e-12,                 0.19
         1.60812e-12,                0.195
         1.94233e-12,                  0.2
         2.34674e-12,                0.205
         2.83641e-12,                 0.21
         3.42967e-12,                0.215
         4.14891e-12,                 0.22
         5.02151e-12,                0.225
         6.08093e-12,                 0.23
         7.36818e-12,                0.235
          8.9335e-12,                 0.24
         1.08386e-11,                0.245
         1.31591e-11,                 0.25
         1.59884e-11,                0.255
         1.94413e-11,                 0.26
         2.36592e-11,                0.265
          2.8817e-11,                 0.27
          3.1814e-11,               0.2725
         3.51308e-11,                0.275
         3.88025e-11,               0.2775
         4.28683e-11,                 0.28
         4.73716e-11,               0.2825
          5.2361e-11,                0.285
         5.78907e-11,               0.2875
          6.4021e-11,                 0.29
         7.08192e-11,               0.2925
         7.83605e-11,                0.295
         8.67286e-11,               0.2975
         9.60173e-11,                  0.3
         1.06331e-10,               0.3025
         1.17787e-10,                0.305
         1.30516e-10,               0.3075
         1.44665e-10,                 0.31
         1.60396e-10,               0.3125
         1.77893e-10,                0.315
         1.97363e-10,               0.3175
         2.19034e-10,                 0.32
         2.43164e-10,               0.3225
         2.70044e-10,                0.325
         2.99998e-10,               0.3275
         3.33391e-10,                 0.33
         3.70631e-10,               0.3325
          4.1218e-10,                0.335
         4.58555e-10,               0.3375
         5.10337e-10,                 0.34
         5.68184e-10,               0.3425
         6.32831e-10,                0.345
         7.05111e-10,               0.3475
          7.8596e-10,                 0.35
         8.76437e-10,               0.3525
         9.77735e-10,                0.355
          1.0912e-09,               0.3575
         1.21835e-09,                 0.36
         1.36092e-09,               0.3625
         1.52084e-09,                0.365
         1.70033e-09,               0.3675
         1.90187e-09,                 0.37
