------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.39936e-09,                0.005
         6.81363e-09,               0.0075
         9.38081e-09,                 0.01
         1.21088e-08,               0.0125
         1.50057e-08,                0.015
         1.80802e-08,               0.0175
         2.13413e-08,                 0.02
         2.47986e-08,               0.0225
         2.84619e-08,                0.025
         3.64488e-08,                 0.03
         4.53916e-08,                0.035
         5.53888e-08,                 0.04
         6.65486e-08,                0.045
           7.899e-08,                 0.05
         9.28439e-08,                0.055
         1.08254e-07,                 0.06
         1.25379e-07,                0.065
         1.44392e-07,                 0.07
         1.65485e-07,                0.075
         1.88869e-07,                 0.08
         2.14776e-07,                0.085
         2.43459e-07,                 0.09
           2.752e-07,                0.095
         3.10309e-07,                  0.1
         3.49124e-07,                0.105
         3.92021e-07,                 0.11
         4.39411e-07,                0.115
         4.91751e-07,                 0.12
         5.49541e-07,                0.125
         6.13332e-07,                 0.13
         6.83735e-07,                0.135
          7.6142e-07,                 0.14
         8.47129e-07,                0.145
          9.4168e-07,                 0.15
         1.04597e-06,                0.155
         1.16101e-06,                 0.16
         1.28789e-06,                0.165
         1.42783e-06,                 0.17
         1.58217e-06,                0.175
          1.7524e-06,                 0.18
         1.94017e-06,                0.185
         2.14731e-06,                 0.19
         2.37581e-06,                0.195
         2.62793e-06,                  0.2
         2.90614e-06,                0.205
         3.21318e-06,                 0.21
         3.55209e-06,                0.215
         3.92625e-06,                 0.22
         4.33942e-06,                0.225
         4.79576e-06,                 0.23
          5.2999e-06,                0.235
           5.857e-06,                 0.24
         6.47277e-06,                0.245
          7.1536e-06,                 0.25
          7.9066e-06,                0.255
         8.73968e-06,                 0.26
         9.66167e-06,                0.265
         1.06824e-05,                 0.27
          1.1813e-05,                0.275
         1.30656e-05,                 0.28
          1.4454e-05,                0.285
         1.59936e-05,                 0.29
         1.77017e-05,                0.295
         1.95975e-05,                  0.3
         2.17027e-05,                0.305
         2.40417e-05,                 0.31
         2.66416e-05,                0.315
         2.95333e-05,                 0.32
         3.27512e-05,                0.325
         3.63343e-05,                 0.33
         4.03263e-05,                0.335
         4.47769e-05,                 0.34
         4.97418e-05,                0.345
         5.52843e-05,                 0.35
         6.14757e-05,                0.355
         6.83972e-05,                 0.36
         7.61405e-05,                0.365
           8.481e-05,                 0.37
         9.45241e-05,                0.375
         0.000105418,                 0.38
         0.000117645,                0.385
         0.000131381,                 0.39
         0.000146826,                0.395
         0.000164209,                  0.4
         0.000183794,                0.405
         0.000205881,                 0.41
         0.000230816,                0.415
         0.000258999,                 0.42
         0.000290888,                0.425
         0.000327014,                 0.43
         0.000367991,                0.435
         0.000414529,                 0.44
         0.000467455,                0.445
         0.000527728,                 0.45
         0.000596468,                0.455
         0.000674984,                 0.46
         0.000764805,                0.465
          0.00086773,                 0.47
         0.000985872,                0.475
          0.00112172,                 0.48
          0.00127823,                0.485
           0.0014589,                 0.49
          0.00166787,                0.495
          0.00191011,                  0.5
          0.00219155,                0.505
           0.0025193,                 0.51
          0.00290196,                0.515
          0.00334989,                 0.52
          0.00387569,                0.525
          0.00449469,                 0.53
          0.00522569,                0.535
          0.00609176,                 0.54
          0.00712144,                0.545
          0.00835011,                 0.55
          0.00982196,                0.555
           0.0115924,                 0.56
           0.0137313,                0.565
           0.0163274,                 0.57
            0.019494,                0.575
           0.0213352,               0.5775
           0.0233766,                 0.58
           0.0256431,               0.5825
           0.0281632,                0.585
           0.0309694,               0.5875
           0.0340988,                 0.59
           0.0375938,               0.5925
           0.0415034,                0.595
           0.0458835,               0.5975
           0.0507986,                  0.6
           0.0563227,               0.6025
           0.0625412,                0.605
           0.0695524,               0.6075
           0.0774692,                 0.61
           0.0864218,               0.6125
           0.0965597,                0.615
            0.108054,               0.6175
              0.1211,                 0.62
             0.13592,               0.6225
            0.152763,                0.625
             0.17191,               0.6275
            0.193666,                 0.63
            0.218364,               0.6325
            0.246349,                0.635
            0.277972,               0.6375
            0.313559,                 0.64
            0.353385,               0.6425
            0.397626,                0.645
            0.446296,               0.6475
            0.499181,                 0.65
            0.615156,                0.655
            0.736768,                 0.66
            0.849455,                0.665
            0.936786,                 0.67
             0.98735,                0.675
            0.999615,                 0.68
            0.980923,                0.685
            0.942446,                 0.69
            0.894543,                0.695
            0.844656,                  0.7

